 ,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,%5/3 Avg.,%5/11 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,59,43,1.3,0.6,7.6,"198,299","6,181",7.6 ( 18 ),4.7 ( 18 )
2. Beaver,43,33,0.3,0.2,4.3,"8,793",836,7.1 ( 2 ),6.8 ( 2 )
3. Blue§,54,44,5.5,4.1,39.6,"146,321",670,13.8 ( 5 ),12.1 ( 5 )
4. Canadian,22,46,0.1,0.1,2.5,"7,011","1,265",0.2 ( 2 ),2.6 ( 2 )
5. Colorado Headwaters§,58,43,3.5,2.1,20.2,"326,884","2,874",11.7 ( 13 ),9.5 ( 13 )
6. Colorado Headwaters-Plateau,43,35,1.3,0.7,9.9,"68,426","1,801",5.4 ( 1 ),1.9 ( 1 )
7. Eagle,52,40,3.4,2.1,25.9,"105,578",921,4.2 ( 3 ),0.1 ( 3 )
8. Gila,0,0,0,0,0,0,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison§,43,40,1.7,1.2,16.8,"421,129","6,433",2.9 ( 11 ),2.0 ( 11 )
10. Little Colorado,25,33,0,0,0,"1,099","16,379",0.5 ( 5 ),0.5 ( 5 )
11. Lower Colorado Mainstream,9,4,0,0,0.1,410,"10,695",0.0 ( 5 ),0.0 ( 5 )
12. Lower Green§,47,37,1.5,0.8,11.5,"233,194","5,647",3.3 ( 24 ),1.7 ( 23 )
13. Lower Rio Grande,6,31,0,0,0.3,"1,292","1,795",0.0 ( 6 ),0.6 ( 6 )
14. Lower Sevier,37,22,0.2,0.1,1.5,"2,775",897,4.5 ( 4 ),2.1 ( 4 )
15. Pecos,23,44,0.2,0.3,6.9,"6,055",331,0.4 ( 2 ),1.7 ( 2 )
16. Provo-Utah Lake-Jordan§,49,35,1.1,0.6,8.7,"83,168","2,681",8.5 ( 18 ),5.4 ( 18 )
17. Rio Chama-Upper Rio Grande,18,42,0.1,0.2,6.5,"63,557","5,207",0.6 ( 13 ),1.4 ( 13 )
18. Rio Grande Headwaters§,37,53,0.6,0.9,16.4,"356,960","7,595",2.0 ( 14 ),2.3 ( 14 )
19. Roaring Fork§,50,39,4.8,3.3,32.9,"235,684","1,359",7.7 ( 7 ),5.0 ( 7 )
20. Salt,3,3,0,0,0,36,"2,361",0.0 ( 7 ),0.0 ( 7 )
21. San Juan,39,43,0.7,0.6,10.4,"208,811","6,406",2.5 ( 15 ),2.1 ( 15 )
22. San Pitch,51,38,1.1,0.6,9.3,"27,264",857,4.7 ( 6 ),2.3 ( 6 )
23. South Platte§,51,54,1.3,1.2,15.6,"363,144","5,620",9.9 ( 21 ),9.3 ( 21 )
24. Southwestern Utah,20,14,0,0,0.7,"1,764","1,440",0.8 ( 5 ),0.1 ( 5 )
25. Toole Valley-Vernon Creek,61,48,0.2,0.1,1.3,"4,191",906,4.1 ( 4 ),2.5 ( 4 )
26. Upper Arkansas,50,51,0.8,0.8,12.3,"251,689","5,875",1.1 ( 6 ),1.8 ( 6 )
27. Upper Colorado-Dirty Devil,27,31,0.3,0.2,3.9,"27,665","2,597",0.1 ( 7 ),0.0 ( 7 )
28. Upper Colorado-Dolores§,31,36,0.7,0.7,7.4,"119,962","3,434",2.5 ( 9 ),2.6 ( 7 )
29. Upper Sevier,30,24,0.3,0.1,2.9,"29,617","3,758",1.9 ( 16 ),1.2 ( 16 )
30. Verde,26,33,0,0,0,137,"1,816",0.1 ( 7 ),0.1 ( 7 )
31. Weber-Ogden,46,34,1.1,0.5,7.8,"56,545","2,041",6.3 ( 17 ),2.7 ( 17 )
32. White-Yampa§,54,42,2.3,1.3,13.4,"409,606","5,948",10.8 ( 15 ),6.6 ( 15 )
