 ,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,%3/31 Avg. ,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,76,93,14.9,19.1,53.6,"2,170,484","2,134",20.4 ( 7 ),20.0 ( 7 )
2. Central Puget Sound,21,45,2.6,8.2,20.9,"542,598","1,239",35.3 ( 5 ),36.5 ( 5 )
3. Hood-Sandy-Lower Deschutes,99,119,2.7,2.9,10.9,"781,517","5,079",22.4 ( 11 ),22.1 ( 11 )
4. Klamath,191,210,5.8,5.4,31.9,"2,076,752","7,197",21.7 ( 16 ),21.4 ( 15 )
5. Lewis,40,58,2.5,3.3,10.4,"103,224",581,36.4 ( 7 ),36.5 ( 7 )
6. Lower Cowlitz,84,104,7.3,8.9,32.3,"87,463",185,23.1 ( 2 ),21.9 ( 2 )
7. Naches,85,123,8.6,11.8,46.2,"384,985",610,40.4 ( 4 ),40.4 ( 4 )
8. North Puget Sound,30,50,3.4,7.1,18.5,"876,651","2,312",37.4 ( 9 ),37.6 ( 9 )
9. Olympic,77,106,18.1,24.6,61.5,"312,020",238,31.7 ( 3 ),31.4 ( 3 )
10. Rogue-Umpqua,110,114,6,5.7,16.4,"1,019,631","3,371",15.7 ( 6 ),16.1 ( 6 )
11. South Puget Sound,56,76,3.9,5.7,13.6,"347,010","1,148",20.3 ( 14 ),20.8 ( 14 )
12. Upper Columbia,112,130,8.2,8.7,35.4,"2,559,447","5,502",13.8 ( 7 ),14.0 ( 7 )
13. Upper Cowlitz,37,69,3.7,7.8,19.4,"295,389",713,37.1 ( 3 ),37.5 ( 3 )
14. Upper Deschutes-Crooked,150,161,5.5,5.4,24.2,"1,629,023","5,607",30.0 ( 7 ),30.5 ( 7 )
15. Upper Yakima,97,110,10.6,11.4,40.7,"628,073","1,033",20.4 ( 3 ),19.4 ( 3 )
16. Willamette,92,101,1.7,1.7,5.1,"1,047,829","11,360",15.5 ( 18 ),15.5 ( 18 )
