 ,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,54,58,7.4,6.3,31,"721,058","2,136",10.0 ( 7 ),7.6 ( 7 )
2. Central Puget Sound,49,56,7.2,6.3,30.6,"413,820","1,238",24.9 ( 5 ),17.3 ( 5 )
3. Hood-Sandy-Lower Deschutes,64,60,0.8,0.6,3.5,"165,903","5,080",12.0 ( 11 ),9.3 ( 11 )
4. Klamath,84,72,1,0.7,5,"264,250","7,199",10.6 ( 14 ),7.0 ( 14 )
5. Lewis,45,41,1.4,1.2,7.2,"37,902",581,29.6 ( 7 ),24.9 ( 7 )
6. Lower Cowlitz,61,52,2.7,1.9,11.1,"18,635",185,16.4 ( 2 ),13.8 ( 2 )
7. Naches,65,55,3.6,2.6,14.6,"83,237",610,31.3 ( 4 ),24.7 ( 4 )
8. North Puget Sound,51,64,6,6.4,29.6,"786,662","2,313",31.2 ( 9 ),26.3 ( 9 )
9. Olympic,55,69,10.5,11.6,53.3,"147,314",238,22.7 ( 3 ),19.8 ( 3 )
10. Rogue-Umpqua,79,71,2.2,1.8,11.4,"322,918","3,371",4.5 ( 6 ),3.5 ( 6 )
11. South Puget Sound,51,61,2.4,2.4,11.6,"149,844","1,148",13.6 ( 14 ),10.6 ( 14 )
12. Upper Columbia,75,75,2.2,1.5,8.9,"438,375","5,502",5.7 ( 7 ),3.9 ( 7 )
13. Upper Cowlitz,53,53,4,3.7,18.3,"140,173",714,23.9 ( 3 ),16.8 ( 3 )
14. Upper Deschutes-Crooked,73,74,1.3,1.2,6.5,"349,355","5,608",14.3 ( 7 ),5.4 ( 6 )
15. Upper Yakima,50,50,3.3,2.3,12.9,"126,724","1,033",5.2 ( 3 ),1.5 ( 3 )
16. Willamette,73,64,0.7,0.5,2.8,"311,566","11,356",6.7 ( 17 ),3.9 ( 17 )
