 ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,Area (mi2),4/27/2025,5/3/2025,5/1/2025
Basin,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,163,137,3.1,1.9,16.8,"10,988",109,NA,NA,NA
22. Lower Yakima,104,59,1.6,0.7,4.7,"19,130",489,11.0 ( 2 ),7.8 ( 2 ),NA
23. Malheur,161,179,1.9,1.5,13.7,"77,890",992,3.7 ( 3 ),1.5 ( 3 ),NA
24. Middle Humboldt,154,71,0.1,0.1,0.8,"1,720",633,NA,NA,NA
25. Northern Big Smoky Valley,65,59,0.5,0.5,8.1,"16,455",570,NA,NA,NA
26. Northern Great Basin,91,63,0.2,0.1,1.4,"15,779","2,226",0.7 ( 2 ),0.0 ( 2 ),0.0 ( 2 )
27. Panhandle Basins,102,79,4.4,3.2,22.4,"282,780","1,644",28.6 ( 3 ),25.7 ( 3 ),7.8 ( 1 )
28. Reese,83,69,0.6,0.6,8.8,"14,964",491,5.5 ( 2 ),4.9 ( 2 ),NA
29. Rock,157,51,0.1,0,0.2,842,835,7.0 ( 1 ),3.7 ( 1 ),NA
30. Salmon Basin,112,89,7.7,5.6,37,"3,546,511","11,932",18.6 ( 11 ),15.4 ( 11 ),NA
31. Silver,74,3,0.1,0,0,11,431,NA,NA,NA
32. Silvies,124,51,0.3,0.1,0.7,"5,655","1,316",8.0 ( 1 ),0.9 ( 2 ),NA
33. Southern Snake Basins,109,68,0.3,0.2,1.6,"127,246","12,500",5.0 ( 13 ),3.7 ( 13 ),0.0 ( 6 )
34. Spokane,114,90,1.9,1.2,9.3,"197,832","3,146",11.4 ( 8 ),7.2 ( 8 ),6.8 ( 4 )
35. St. Mary,78,74,7.1,5.8,38.4,"199,219",648,0.2 ( 1 ),0.0 ( 1 ),24.1 ( 5 )
36. Truckee,65,53,1.9,1.5,11.7,"117,084","1,420",13.4 ( 9 ),12.4 ( 9 ),NA
37. Umatilla-Walla Walla-Willow,111,78,0.5,0.3,2.8,"20,789","1,434",13.0 ( 7 ),10.5 ( 7 ),NA
38. Upper Humboldt,119,92,0.6,0.5,4.1,"136,988","5,032",7.7 ( 8 ),6.1 ( 8 ),NA
39. Walker,79,73,2.1,1.5,11,"156,145","1,939",13.7 ( 7 ),12.6 ( 7 ),NA
40. West Central Basins,121,93,7.1,5.1,30.7,"1,522,312","5,620",19.4 ( 15 ),15.7 ( 15 ),12.0 ( 9 )
