 ,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,%5/11 Avg.,%5/17 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,51,1,0,0,0,14,"7,200",0.0 ( 1 ),0.0 ( 1 )
2. Bighorn,78,74,1.2,1,8.7,"1,180,294","22,740",7.8 ( 21 ),5.1 ( 20 )
3. Cheyenne,10,0,0,0,0,0,"15,348",0.0 ( 1 ),0.2 ( 1 )
4. Gallatin,81,89,2.8,2.8,24.2,"274,547","1,846",18.9 ( 4 ),17.8 ( 4 )
5. Jefferson,70,86,1.3,1.5,18.1,"711,324","8,788",7.6 ( 13 ),7.6 ( 13 )
6. Madison Headwaters in WY,62,66,2.5,2.4,22.8,"317,117","2,524",11.1 ( 7 ),9.8 ( 7 )
7. North Platte,42,49,0.6,0.6,9,"303,866","10,281",10.1 ( 22 ),8.4 ( 22 )
8. Powder,62,55,0.1,0.1,0.8,"49,905","13,385",2.8 ( 5 ),2.0 ( 5 )
9. Smith-Judith-Musselshell,134,119,0.5,0.4,4.9,"174,258","8,335",9.3 ( 9 ),9.6 ( 8 )
10. Snake,75,83,4.9,4.5,38.5,"1,339,241","5,626",10.3 ( 11 ),8.3 ( 11 )
11. Sun-Teton-Marias,71,79,0.3,0.3,2.8,"193,825","10,463",1.5 ( 5 ),1.0 ( 5 )
12. Tongue,81,82,0.5,0.4,4.5,"123,163","5,400",7.7 ( 6 ),4.9 ( 6 )
13. Upper Clark Fork,80,96,1.2,1.2,11.3,"387,101","5,981",6.3 ( 12 ),6.1 ( 12 )
14. Upper Green,66,68,1.6,1.3,12.4,"663,693","9,539",6.1 ( 20 ),4.8 ( 20 )
15. Upper Missouri,105,137,0.4,0.4,4.2,"58,681","2,951",0.1 ( 2 ),0.1 ( 2 )
16. Upper Snake Basins,53,68,1,1.1,14.1,"402,915","6,875",6.3 ( 11 ),5.2 ( 11 )
17. Upper Yellowstone,80,83,3.3,2.9,22,"1,701,223","11,070",11.0 ( 19 ),10.0 ( 19 )
18. Wood and Lost Basins,55,67,0.7,0.9,13,"357,890","7,420",1.7 ( 16 ),1.2 ( 16 )
