,,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,Elevation Band,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,720",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",0,14,0,0,0.1,39,"2,827",NA,NA
,"5,000-6,000'",5,90,0,0.2,10.5,"8,351",721,2.7 ( 1 ),1.5 ( 1 )
,"6,000-7,000'",55,120,1.6,1.4,28.5,"15,328",209,NA,NA
,"7,000-8,000'",87,126,3.1,2.7,52,150,1,NA,NA
2. Bighorn,"2,000-3,000'",0,0,0,0,0,0,213,NA,NA
,"3,000-4,000'",1,80,0,0,0,2,"2,480",NA,NA
,"4,000-5,000'",68,>300†,0,0,1.1,"1,577","5,267",NA,NA
,"5,000-6,000'",107,>300†,0,0.1,6.2,"24,569","5,480",NA,NA
,"6,000-7,000'",48,309,0.2,1,28.9,"172,111","3,200",NA,NA
,"7,000-8,000'",77,189,1.6,4.2,61.2,"409,586","1,827",6.1 ( 3 ),5.0 ( 3 )
,"8,000-9,000'",102,119,6.7,9.1,84.2,"762,214","1,565",7.5 ( 7 ),6.9 ( 7 )
,"9,000-10,000'",102,100,11.4,13,90.6,"960,808","1,381",14.0 ( 8 ),14.1 ( 8 )
,"10,000-11,000'",96,92,14.4,15.5,90.3,"767,700",926,16.7 ( 3 ),17.2 ( 3 )
,"11,000-12,000'",95,90,15.7,17.6,90.2,"342,463",364,NA,NA
,">12,000'",96,89,19.2,21.7,93.6,"41,393",36,NA,NA
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,403",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"3,657",NA,NA
,"4,000-5,000'",2,0,0,0,0,0,"5,671",NA,NA
,"5,000-6,000'",0,29,0,0,0.1,248,"2,141",NA,NA
,"6,000-7,000'",14,81,0.2,0.2,6.6,"6,036",472,0.3 ( 2 ),0.1 ( 2 )
,"7,000-8,000'",36,100,1.3,0.8,18.4,192,5,NA,NA
4. Gallatin,"4,000-5,000'",7,38,0,0,0,16,462,NA,NA
,"5,000-6,000'",60,194,0.5,0.8,13,"12,886",300,NA,NA
,"6,000-7,000'",112,141,4,3.9,45.5,"56,467",271,NA,11.8 ( 1 )
,"7,000-8,000'",98,103,7.9,8.1,70.7,"164,431",380,NA,NA
,"8,000-9,000'",90,87,11.4,12.4,81.7,"207,312",314,24.1 ( 2 ),24.5 ( 2 )
,"9,000-10,000'",92,90,14.9,16.5,84.4,"100,140",114,26.2 ( 1 ),26.8 ( 1 )
,"10,000-11,000'",96,94,18,19.7,89.7,"6,600",6,NA,NA
5. Jefferson,"5,000-6,000'",57,171,0,0.1,1.3,"6,695","1,658",NA,NA
,"6,000-7,000'",92,131,1.4,1.3,12.7,"208,200","3,121",2.5 ( 2 ),0.2 ( 2 )
,"7,000-8,000'",97,121,5.1,5.7,46.4,"806,900","2,638",8.3 ( 3 ),7.2 ( 3 )
,"8,000-9,000'",92,92,9.7,10.8,69.8,"655,467","1,135",16.9 ( 6 ),17.0 ( 6 )
,"9,000-10,000'",94,88,14,14.8,75.6,"179,671",228,19.9 ( 2 ),19.8 ( 2 )
,"10,000-11,000'",103,97,15.2,15.8,78,"6,025",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",44,34,0,0,0,6,165,NA,NA
,"5,000-6,000'",33,263,0,0.3,4.3,"6,237",440,NA,NA
,"6,000-7,000'",99,136,2.9,2.7,33.7,"71,358",491,12.4 ( 2 ),10.2 ( 2 )
,"7,000-8,000'",94,93,6.6,6.7,60,"258,911",719,17.8 ( 3 ),17.3 ( 3 )
,"8,000-9,000'",90,86,11.1,12.1,78.5,"363,891",564,24.8 ( 2 ),24.2 ( 2 )
,"9,000-10,000'",98,91,16.1,17.7,89.1,"125,872",133,NA,NA
,">10,000'",100,92,20.6,21.5,91.1,"12,701",11,NA,NA
7. North Platte,"7,000-8,000'",16,172,0.1,1.5,22.2,"501,779","6,341",5.4 ( 2 ),3.6 ( 2 )
,"8,000-9,000'",71,119,2.9,4.5,46.4,"592,401","2,477",8.8 ( 6 ),8.1 ( 6 )
,"9,000-10,000'",95,86,9.9,9.3,82.2,"493,214",990,18.7 ( 9 ),18.5 ( 9 )
,"10,000-11,000'",94,87,14.7,14.9,87.8,"324,531",409,28.5 ( 5 ),29.3 ( 5 )
,"11,000-12,000'",94,90,17.8,18.2,89.2,"59,647",61,NA,NA
,"12,000-13,000'",96,93,17.2,20.2,92.3,"3,224",3,NA,NA
8. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,208",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"3,983",NA,NA
,"4,000-5,000'",8,>300†,0,0,0,44,"4,641",NA,NA
,"5,000-6,000'",26,105,0,0,0.7,653,"2,030",NA,NA
,"6,000-7,000'",31,192,0.1,0.3,16.8,"10,058",596,NA,NA
,"7,000-8,000'",50,136,1.1,4,61.9,"105,353",496,NA,NA
