 ,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,%4/13 Avg.,%4/20 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,84,121,3.3,3.9,30.9,"1,286,851","6,181",13.3 ( 18 ),12.2 ( 18 )
2. Beaver,59,60,0.9,0.7,10.8,"29,608",836,11.2 ( 2 ),10.8 ( 2 )
3. Blue§,78,90,7.8,10.7,65.3,"382,494",670,16.4 ( 5 ),15.4 ( 5 )
4. Canadian,19,50,0.1,0.2,6.9,"15,636","1,265",0.3 ( 2 ),0.4 ( 2 )
5. Colorado Headwaters§,82,96,6.4,6.7,51.2,"1,021,389","2,874",14.4 ( 13 ),13.3 ( 13 )
6. Colorado Headwaters-Plateau,65,78,3.2,3.1,32,"297,620","1,801",11.8 ( 1 ),10.3 ( 1 )
7. Eagle,75,82,6.1,6.6,49.1,"324,282",921,11.2 ( 3 ),9.5 ( 3 )
8. Gila,0,22,0,0,0,256,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison§,64,71,3.7,3.7,39.7,"1,262,164","6,433",9.2 ( 11 ),7.1 ( 11 )
10. Little Colorado,17,71,0,0,1,"11,574","16,379",2.2 ( 5 ),2.2 ( 5 )
11. Lower Colorado Mainstream,18,35,0,0,3.4,"22,733","10,695",2.2 ( 5 ),1.6 ( 5 )
12. Lower Green§,67,81,3.7,3.7,37.4,"1,124,610","5,647",7.7 ( 24 ),6.9 ( 24 )
13. Lower Rio Grande,7,41,0,0.1,1.2,"5,464","1,795",0.1 ( 6 ),0.3 ( 6 )
14. Lower Sevier,56,107,0.8,1,17.3,"46,784",897,9.8 ( 4 ),8.3 ( 4 )
15. Pecos,33,61,0.5,0.7,14.1,"12,716",331,0.3 ( 2 ),0.4 ( 2 )
16. Provo-Utah Lake-Jordan§,80,88,3.3,3.2,29.4,"452,098","2,681",18.3 ( 17 ),16.3 ( 17 )
17. Rio Chama-Upper Rio Grande,28,46,0.4,0.4,10.1,"120,956","5,207",2.4 ( 13 ),1.9 ( 13 )
18. Rio Grande Headwaters,45,69,1.3,1.8,25.6,"724,006","7,595",4.9 ( 14 ),4.2 ( 14 )
19. Roaring Fork§,73,75,7.7,8.4,54.2,"608,218","1,359",12.9 ( 7 ),11.4 ( 7 )
20. Salt,2,20,0,0,1.2,"2,551","2,361",0.0 ( 7 ),0.1 ( 7 )
21. San Juan,48,62,1.3,1.5,18.3,"512,922","6,406",6.8 ( 15 ),5.4 ( 15 )
22. San Pitch,71,80,2.6,2.4,22,"110,415",857,11.1 ( 6 ),9.9 ( 6 )
23. South Platte§,57,74,1.9,2.4,22,"721,460","5,620",12.3 ( 21 ),12.1 ( 21 )
24. Southwestern Utah,34,57,0.2,0.3,6.3,"20,558","1,440",2.2 ( 5 ),2.1 ( 5 )
25. Toole Valley-Vernon Creek,68,101,0.6,0.7,7.8,"32,018",906,8.9 ( 4 ),7.9 ( 4 )
26. Upper Arkansas,53,72,1.3,1.7,18.4,"522,935","5,875",5.1 ( 7 ),4.3 ( 6 )
27. Upper Colorado-Dirty Devil,35,62,0.8,1,14.7,"135,043","2,597",3.0 ( 7 ),2.2 ( 7 )
28. Upper Colorado-Dolores§,44,56,1.4,1.4,18.1,"263,354","3,434",7.4 ( 8 ),5.7 ( 8 )
29. Upper Sevier,43,70,1,1.1,17.3,"216,944","3,758",5.2 ( 16 ),4.4 ( 16 )
30. Verde,40,304,0,0.1,7.8,"6,700","1,816",0.6 ( 7 ),0.4 ( 7 )
31. Weber-Ogden,80,99,3.5,3.6,33,"396,977","2,041",15.0 ( 17 ),13.3 ( 17 )
32. White-Yampa§,81,92,4.7,4.5,35.3,"1,436,532","5,948",16.5 ( 15 ),15.4 ( 15 )
