 ,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,188,134,6,2.7,16.6,"47,186",324,NA,NA
2. Bitterroot,112,90,10.2,7.5,40.6,"777,517","1,952",19.7 ( 4 ),18.5 ( 4 )
3. Carson,114,85,5.3,3.7,16.9,"274,753","1,405",18.5 ( 7 ),15.8 ( 7 )
4. Clearwater Basin,108,90,7,5.8,27.4,"2,318,958","7,488",28.4 ( 10 ),29.2 ( 11 )
5. Clover Valley and Franklin,136,75,1.1,0.4,4.4,"85,250","4,048",21.3 ( 2 ),16.2 ( 2 )
6. Donner und Blitzen,171,155,14.9,10.4,64.7,"122,611",222,39.1 ( 2 ),38.2 ( 2 )
7. Dry Lake Valley,60,18,0.9,0.2,1.4,"2,499",289,NA,NA
8. Eastern Nevada,112,49,2.7,0.6,6.2,"140,933","4,372",8.4 ( 8 ),4.3 ( 8 )
9. Flathead,96,75,6.1,3.7,21,"1,465,358","7,526",23.0 ( 13 ),22.3 ( 13 )
10. Grande Ronde-Burnt-Powder_Imnaha,127,124,6.1,5.6,26.3,"1,575,363","5,312",20.1 ( 11 ),16.9 ( 10 )
11. Guano,377,145,0.7,0.2,1.8,"21,223","2,036",0.0 ( 1 ),NA
12. Harney-Malheur Lakes,269,168,3.1,0.9,8.7,"13,476",276,NA,NA
13. John Day,126,145,6,5.5,33.7,"437,364","1,502",19.9 ( 2 ),15.8 ( 2 )
14. Kootenai,54,57,3.1,2.6,14.7,"230,030","1,673",21.4 ( 5 ),21.4 ( 5 )
15. Lake County-Goose Lake,226,176,5.8,3.5,23.7,"662,823","3,602",23.2 ( 2 ),21.7 ( 2 )
16. Little Humboldt,157,94,3.9,1.3,9.4,"27,969",419,14.9 ( 3 ),11.4 ( 3 )
17. Lower Clark Fork,97,83,8.2,6.1,34.7,"478,950","1,465",40.1 ( 4 ),41.3 ( 4 )
18. Lower Humboldt,269,108,3.7,0.7,7,"10,005",274,3.8 ( 1 ),0.0 ( 1 )
19. Lower Pend Oreille,71,100,6.6,8.9,38.6,"61,270",129,27.7 ( 1 ),27.5 ( 1 )
20. Lower Snake-Asotin,138,125,1.8,1.1,8.9,"19,472",328,6.6 ( 2 ),4.9 ( 2 )
