 ,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,%5/11 Avg.,%5/17 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,58,66,6.3,6.8,37.6,"774,001","2,136",7.6 ( 7 ),6.1 ( 7 )
2. Central Puget Sound,56,51,6.3,6.1,32.6,"406,100","1,238",17.3 ( 5 ),14.7 ( 5 )
3. Hood-Sandy-Lower Deschutes,60,68,0.6,0.6,4.1,"171,521","5,080",9.3 ( 11 ),9.3 ( 10 )
4. Klamath,72,105,0.7,0.7,5.7,"258,957","7,199",7.0 ( 14 ),6.1 ( 14 )
5. Lewis,41,47,1.2,1.3,6.5,"40,991",581,24.9 ( 7 ),26.8 ( 6 )
6. Lower Cowlitz,52,53,1.9,1.8,9.1,"17,995",185,13.8 ( 2 ),12.5 ( 2 )
7. Naches,55,71,2.6,3.4,23.7,"112,272",610,24.7 ( 4 ),20.9 ( 4 )
8. North Puget Sound,64,65,6.4,6.6,29.8,"808,033","2,313",26.3 ( 9 ),23.9 ( 9 )
9. Olympic,69,79,11.6,12.8,50.8,"162,548",238,19.8 ( 3 ),17.4 ( 3 )
10. Rogue-Umpqua,71,99,1.8,1.9,12.2,"345,395","3,371",3.5 ( 6 ),3.4 ( 6 )
11. South Puget Sound,61,61,2.4,2.7,12.6,"164,976","1,148",10.6 ( 14 ),9.7 ( 14 )
12. Upper Columbia,75,88,1.5,1.5,10.3,"443,561","5,502",3.9 ( 7 ),3.6 ( 7 )
13. Upper Cowlitz,53,54,3.7,3.9,19.2,"149,590",714,16.8 ( 3 ),13.3 ( 3 )
14. Upper Deschutes-Crooked,74,90,1.2,1.2,7.2,"346,273","5,608",5.4 ( 6 ),4.1 ( 6 )
15. Upper Yakima,50,52,2.3,2.4,16.7,"132,897","1,033",1.5 ( 3 ),0.0 ( 3 )
16. Willamette,64,77,0.5,0.6,3.7,"373,766","11,356",3.9 ( 17 ),3.0 ( 17 )
