 ,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,%4/13 Avg.,%4/20 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,25,105,0,0.1,1.9,"23,868","7,200",2.7 ( 1 ),1.5 ( 1 )
2. Bighorn,95,113,2.2,2.9,27.3,"3,482,422","22,740",11.1 ( 21 ),10.8 ( 21 )
3. Cheyenne,11,76,0,0,0.2,"6,476","15,348",0.3 ( 2 ),0.1 ( 2 )
4. Gallatin,94,99,5.2,5.6,42.7,"547,851","1,846",24.8 ( 3 ),21.9 ( 4 )
5. Jefferson,94,109,3.6,4,29.7,"1,862,958","8,788",12.9 ( 14 ),12.3 ( 14 )
6. Madison Headwaters in WY,93,94,5.9,6.2,47.1,"838,975","2,524",18.2 ( 7 ),17.2 ( 7 )
7. North Platte,66,112,2.4,3.6,36.8,"1,974,796","10,281",17.0 ( 22 ),16.8 ( 22 )
8. Powder,72,107,0.2,0.4,5.9,"313,101","13,385",5.4 ( 5 ),4.6 ( 5 )
9. Smith-Judith-Musselshell,111,148,1.6,1.7,16.6,"771,976","8,335",15.1 ( 9 ),15.0 ( 9 )
10. Snake,102,102,11.4,11.2,77.3,"3,363,759","5,626",20.8 ( 11 ),19.9 ( 11 )
11. Sun-Teton-Marias,73,96,1,1.2,8.5,"650,576","10,463",6.7 ( 5 ),6.4 ( 5 )
12. Tongue,88,90,0.8,0.8,7.2,"244,501","5,400",9.1 ( 6 ),9.2 ( 6 )
13. Upper Clark Fork,96,77,3.2,2.1,15.9,"672,728","5,981",11.6 ( 12 ),11.3 ( 12 )
14. Upper Green,81,135,4,5.9,52.1,"3,006,869","9,539",13.0 ( 21 ),12.3 ( 21 )
15. Upper Missouri,103,136,1.4,1.5,15.4,"242,630","2,951",6.5 ( 2 ),5.3 ( 2 )
16. Upper Snake Basins,103,107,4.6,4,33,"1,470,777","6,875",18.9 ( 11 ),16.9 ( 11 )
17. Upper Yellowstone,102,102,5.8,6.1,44.5,"3,581,586","11,070",16.3 ( 18 ),15.7 ( 19 )
18. Wood and Lost Basins,98,97,3.6,3,19.5,"1,184,633","7,420",10.3 ( 16 ),8.1 ( 16 )
