 ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,Area (mi2),4/27/2025,5/3/2025,5/1/2025
Basin,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Central Columbia,89,54,14.5,7.4,39.5,"842,763","2,136",12.9 ( 7 ),10.0 ( 7 ),NA
2. Central Puget Sound,75,49,12.2,7.2,39.3,"476,964","1,238",30.1 ( 5 ),24.9 ( 5 ),NA
3. Hood-Sandy-Lower Deschutes,105,64,1.7,0.8,4.8,"213,220","5,080",14.4 ( 11 ),12.0 ( 11 ),1.1 ( 2 )
4. Klamath,134,84,1.7,1,6.5,"368,722","7,199",13.0 ( 14 ),10.6 ( 14 ),17.9 ( 4 )
5. Lewis,58,45,2.5,1.4,8.3,"44,537",581,37.8 ( 6 ),29.6 ( 7 ),NA
6. Lower Cowlitz,84,61,4.8,2.7,15.8,"26,926",185,18.4 ( 2 ),16.4 ( 2 ),NA
7. Naches,98,65,7.2,3.6,20.9,"116,707",610,35.8 ( 4 ),31.3 ( 4 ),NA
8. North Puget Sound,84,51,10.7,6,32.7,"741,344","2,313",34.5 ( 9 ),31.2 ( 9 ),NA
9. Olympic,94,55,21.3,10.5,53.4,"132,630",238,25.4 ( 3 ),22.7 ( 3 ),9.3 ( 3 )
10. Rogue-Umpqua,107,79,3.2,2.2,12.3,"387,698","3,371",6.8 ( 6 ),4.5 ( 6 ),7.1 ( 10 )
11. South Puget Sound,80,51,4.4,2.4,14.4,"148,343","1,148",17.6 ( 13 ),13.6 ( 14 ),NA
12. Upper Columbia,126,75,4.6,2.2,12.7,"655,424","5,502",7.1 ( 7 ),5.7 ( 7 ),NA
13. Upper Cowlitz,75,53,7.1,4,22.4,"153,888",714,29.4 ( 3 ),23.9 ( 3 ),NA
14. Upper Deschutes-Crooked,128,73,2.7,1.3,7.8,"390,543","5,608",12.4 ( 6 ),14.3 ( 7 ),0.0 ( 2 )
15. Upper Yakima,76,50,6.4,3.3,18.5,"182,534","1,033",10.5 ( 3 ),5.2 ( 3 ),NA
16. Willamette,107,73,1.2,0.7,3.6,"394,407","11,356",9.0 ( 16 ),6.7 ( 17 ),NA
