 ,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,66,43,6.8,2.7,26.8,"312,460","2,136",6.1 ( 7 ),4.4 ( 7 )
2. Central Puget Sound,51,33,6.1,3.1,30.1,"201,715","1,238",14.7 ( 5 ),9.8 ( 5 )
3. Hood-Sandy-Lower Deschutes,68,45,0.6,0.2,2.3,"59,162","5,080",9.3 ( 10 ),6.7 ( 11 )
4. Klamath,105,84,0.7,0.3,3.5,"104,277","7,199",6.1 ( 14 ),3.8 ( 14 )
5. Lewis,47,31,1.3,0.5,4.7,"15,418",581,26.8 ( 6 ),19.3 ( 7 )
6. Lower Cowlitz,53,42,1.8,0.8,7.2,"7,550",185,12.5 ( 2 ),9.7 ( 2 )
7. Naches,71,42,3.4,1.1,11.3,"34,762",610,20.9 ( 4 ),15.3 ( 4 )
8. North Puget Sound,65,37,6.6,2.8,26.8,"347,451","2,313",23.9 ( 9 ),21.4 ( 9 )
9. Olympic,79,46,12.8,5.8,48.9,"73,014",238,17.4 ( 3 ),13.4 ( 3 )
10. Rogue-Umpqua,99,80,1.9,0.8,8.5,"138,103","3,371",3.4 ( 6 ),1.9 ( 6 )
11. South Puget Sound,61,35,2.7,1,10.2,"61,968","1,148",9.7 ( 14 ),7.9 ( 14 )
12. Upper Columbia,88,70,1.5,0.6,6.3,"169,226","5,502",3.6 ( 7 ),2.8 ( 7 )
13. Upper Cowlitz,54,35,3.9,1.7,16.3,"64,828",714,13.3 ( 3 ),6.0 ( 3 )
14. Upper Deschutes-Crooked,90,64,1.2,0.4,4.6,"132,661","5,608",4.1 ( 6 ),0.6 ( 6 )
15. Upper Yakima,52,34,2.4,0.9,9,"47,034","1,033",0.0 ( 3 ),0.0 ( 3 )
16. Willamette,77,44,0.6,0.2,1.7,"109,100","11,356",3.0 ( 17 ),1.9 ( 17 )
