 ,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,131,162,0.6,0.7,9.8,"11,992",324,NA,NA
2. Bitterroot,68,62,3.3,2.3,28.4,"240,277","1,952",6.9 ( 4 ),6.0 ( 4 )
3. Carson,44,48,0.9,0.6,6.4,"43,075","1,405",3.2 ( 7 ),1.7 ( 7 )
4. Clearwater Basin,70,68,2.6,1.8,19.9,"717,066","7,488",16.1 ( 11 ),13.9 ( 11 )
5. Clover Valley and Franklin,74,113,0.1,0.1,2.7,"27,226","4,048",1.2 ( 2 ),0.2 ( 2 )
6. Donner und Blitzen,146,190,2.9,3.4,47.1,"40,598",222,18.4 ( 2 ),18.3 ( 2 )
7. Dry Lake Valley,15,21,0,0,0.2,128,289,NA,NA
8. Eastern Nevada,41,53,0.1,0.1,2.5,"23,649","4,372",1.3 ( 8 ),1.0 ( 8 )
9. Flathead,83,92,3,2.9,21.3,"1,147,144","7,526",15.8 ( 13 ),11.6 ( 12 )
10. Grande Ronde-Burnt-Powder_Imnaha,73,82,1.6,1.6,17.1,"458,990","5,312",4.6 ( 10 ),4.3 ( 10 )
11. Guano,99,359,0,0,0.7,"4,526","2,036",0.0 ( 1 ),0.0 ( 1 )
12. Harney-Malheur Lakes,69,105,0,0,0.4,405,276,NA,NA
13. John Day,70,94,1,1,11.7,"80,717","1,502",0.0 ( 2 ),0.0 ( 2 )
14. Kootenai,67,65,1.9,1.6,16.6,"141,898","1,673",11.1 ( 5 ),8.8 ( 5 )
15. Lake County-Goose Lake,78,169,0.4,0.5,7.5,"89,068","3,602",12.3 ( 2 ),10.6 ( 2 )
16. Little Humboldt,59,111,0.1,0.1,2.1,"2,508",419,3.4 ( 3 ),1.8 ( 3 )
17. Lower Clark Fork,77,72,3.4,2.6,27.2,"203,423","1,465",32.5 ( 4 ),29.9 ( 4 )
18. Lower Humboldt,50,192,0.1,0.1,2.6,"1,508",274,0.0 ( 1 ),0.0 ( 1 )
19. Lower Pend Oreille,90,103,4.2,4.2,46.6,"28,703",129,15.2 ( 1 ),13.6 ( 1 )
20. Lower Snake-Asotin,80,78,0.2,0.1,1.9,"2,377",328,0.0 ( 2 ),0.1 ( 2 )
