 ,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,%4/13 Avg.,%4/0 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,134,118,2.7,1.7,10.8,"28,581",324,NA,NA
2. Bitterroot,90,66,7.5,4.4,24.1,"460,972","1,952",18.5 ( 4 ),15.8 ( 4 )
3. Carson,85,72,3.7,2.4,13.4,"180,137","1,405",15.8 ( 7 ),13.3 ( 7 )
4. Clearwater Basin,90,83,5.8,4.8,22,"1,909,367","7,488",29.2 ( 11 ),27.1 ( 11 )
5. Clover Valley and Franklin,75,82,0.4,0.3,2.8,"63,927","4,048",16.2 ( 2 ),12.8 ( 2 )
6. Donner und Blitzen,155,141,10.4,7.5,49.1,"88,809",222,38.2 ( 2 ),36.2 ( 2 )
7. Dry Lake Valley,18,19,0.2,0.1,1.2,"1,043",289,NA,NA
8. Eastern Nevada,49,46,0.6,0.4,4.3,"91,580","4,372",4.3 ( 8 ),3.5 ( 8 )
9. Flathead,75,58,3.7,2.7,16.1,"1,087,286","7,526",22.3 ( 13 ),22.7 ( 12 )
10. Grande Ronde-Burnt-Powder_Imnaha,124,116,5.6,4.7,22.7,"1,342,279","5,312",16.9 ( 10 ),14.1 ( 10 )
11. Guano,145,128,0.2,0.1,1.1,"13,209","2,036",NA,0.0 ( 1 )
12. Harney-Malheur Lakes,168,90,0.9,0.2,1.8,"2,989",276,NA,NA
13. John Day,145,129,5.5,4.4,27,"349,680","1,502",15.8 ( 2 ),11.2 ( 2 )
14. Kootenai,57,45,2.6,2.3,11.8,"201,004","1,673",21.4 ( 5 ),20.9 ( 5 )
15. Lake County-Goose Lake,176,156,3.5,2.4,17.8,"459,063","3,602",21.7 ( 2 ),19.9 ( 2 )
16. Little Humboldt,94,80,1.3,0.7,6.2,"15,922",419,11.4 ( 3 ),8.2 ( 3 )
17. Lower Clark Fork,83,72,6.1,5,26.7,"393,462","1,465",41.3 ( 4 ),40.8 ( 4 )
18. Lower Humboldt,108,82,0.7,0.3,3.7,"5,029",274,0.0 ( 1 ),0.0 ( 1 )
19. Lower Pend Oreille,100,118,8.9,11.6,49.3,"79,947",129,27.5 ( 1 ),26.3 ( 1 )
20. Lower Snake-Asotin,125,91,1.1,0.8,6.1,"14,343",328,4.9 ( 2 ),2.8 ( 2 )
