 ,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,%4/6 Avg.,%4/14 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,151,161,6.4,5.5,39.1,"32,211",109,NA,NA
22. Lower Yakima,149,121,4.3,3.4,18.7,"88,370",489,21.4 ( 2 ),19.8 ( 2 )
23. Malheur,210,171,7.3,4.5,30.9,"239,161",992,12.5 ( 3 ),8.8 ( 3 )
24. Middle Humboldt,255,65,2.7,0.2,2.3,"7,527",633,NA,NA
25. Northern Big Smoky Valley,132,73,5.5,1.4,13.8,"43,340",570,NA,NA
26. Northern Great Basin,207,78,2.5,0.5,3.3,"55,489","2,226",6.2 ( 2 ),4.7 ( 2 )
27. Panhandle Basins,54,64,2.9,2.9,14,"253,570","1,644",29.6 ( 3 ),30.4 ( 3 )
28. Reese,147,76,6.4,1.6,14.5,"41,276",491,16.6 ( 2 ),13.5 ( 2 )
29. Rock,163,50,0.6,0.1,0.9,"5,515",835,18.8 ( 1 ),14.8 ( 1 )
30. Salmon Basin,125,120,12.8,11.2,56.5,"7,150,637","11,932",22.5 ( 11 ),21.7 ( 11 )
31. Silver,453,250,3.3,0.7,6.4,"15,586",431,NA,NA
32. Silvies,279,202,3.4,1.3,11.9,"91,236","1,316",13.1 ( 2 ),8.9 ( 2 )
33. Southern Snake Basins,149,95,2,0.8,5.3,"503,326","12,500",13.0 ( 13 ),10.7 ( 12 )
34. Spokane,88,72,2.6,1.8,9.4,"301,480","3,146",18.1 ( 8 ),16.1 ( 8 )
35. St. Mary,85,79,10,7.3,43.9,"253,921",648,8.9 ( 1 ),6.1 ( 1 )
36. Truckee,121,80,6.9,3.9,18.4,"295,260","1,420",21.3 ( 9 ),18.3 ( 8 )
37. Umatilla-Walla Walla-Willow,109,133,1.3,1.2,9,"93,320","1,434",18.2 ( 7 ),18.2 ( 6 )
38. Upper Humboldt,142,89,2,1,6.5,"265,747","5,032",15.6 ( 8 ),12.9 ( 8 )
39. Walker,111,76,4.3,2.7,15.4,"281,254","1,939",19.9 ( 7 ),17.6 ( 7 )
40. West Central Basins,140,131,14.3,12.1,57.3,"3,616,079","5,620",27.0 ( 15 ),25.5 ( 15 )
