No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
01,AND,"4,000-5,000'",75.39,0.0,0.0
01,AND,"5,000-6,000'",253.77,0.0,29.0
01,AND,"6,000-7,000'",293.53,1.28,20043.0
01,AND,"7,000-8,000'",201.45,9.03,97021.0
01,AND,"8,000-9,000'",130.99,17.94,125345.0
01,AND,"9,000-10,000'",20.56,21.12,23163.0
02,BEU,"3,000-4,000'",33.2,0.0,0.0
02,BEU,"4,000-5,000'",160.52,0.0,0.0
02,BEU,"5,000-6,000'",188.42,0.02,208.0
02,BEU,"6,000-7,000'",51.54,4.16,11436.0
02,BEU,"7,000-8,000'",13.61,13.56,9844.0
03,BUL,"2,000-3,000'",35.81,0.0,0.0
03,BUL,"3,000-4,000'",216.02,0.0,0.0
03,BUL,"4,000-5,000'",227.51,0.0,0.0
03,BUL,"5,000-6,000'",71.53,0.0,0.0
03,BUL,"6,000-7,000'",1.74,0.0,0.0
04,BUM,"3,000-4,000'",13.03,0.58,405.0
04,BUM,"4,000-5,000'",25.97,4.01,5557.0
04,BUM,"5,000-6,000'",27.12,13.56,19614.0
04,BUM,"6,000-7,000'",3.28,21.38,3742.0
04,BUM,"7,000-8,000'",0.1,19.34,100.0
05,CCL,"2,000-3,000'",4.15,0.0,0.0
05,CCL,"3,000-4,000'",2.12,0.0,0.0
05,CCL,"4,000-5,000'",0.39,3.64,75.0
06,CCR,"2,000-3,000'",7.72,0.0,0.0
06,CCR,"3,000-4,000'",30.31,0.25,401.0
06,CCR,"4,000-5,000'",38.13,5.98,12158.0
06,CCR,"5,000-6,000'",24.61,16.37,21485.0
06,CCR,"6,000-7,000'",9.65,21.24,10937.0
06,CCR,"7,000-8,000'",2.12,23.41,2652.0
07,CLE,"2,000-3,000'",29.25,0.42,651.0
07,CLE,"3,000-4,000'",52.41,4.29,11988.0
07,CLE,"4,000-5,000'",65.06,11.28,39137.0
07,CLE,"5,000-6,000'",43.34,24.47,56566.0
07,CLE,"6,000-7,000'",11.29,35.99,21675.0
07,CLE,"7,000-8,000'",0.68,59.4,2141.0
08,CMO,"4,000-5,000'",6.27,0.0,0.0
08,CMO,"5,000-6,000'",8.59,4.51,2067.0
08,CMO,"6,000-7,000'",16.41,17.37,15204.0
08,CMO,"7,000-8,000'",17.18,24.52,22473.0
08,CMO,"8,000-9,000'",5.12,25.53,6965.0
08,CMO,"9,000-10,000'",0.19,22.98,237.0
09,CSC,"4,000-5,000'",147.49,0.05,386.0
09,CSC,"5,000-6,000'",191.7,2.56,26197.0
09,CSC,"6,000-7,000'",159.36,13.03,110735.0
09,CSC,"7,000-8,000'",109.46,22.51,131431.0
09,CSC,"8,000-9,000'",6.18,25.73,8477.0
10,DED,"5,000-6,000'",29.83,5.75,9140.0
10,DED,"6,000-7,000'",40.06,13.87,29640.0
10,DED,"7,000-8,000'",37.64,20.53,41215.0
10,DED,"8,000-9,000'",1.64,23.2,2030.0
11,GRS,"7,000-8,000'",3.76,9.2,1847.0
11,GRS,"8,000-9,000'",0.1,13.68,70.0
12,HEII,"5,000-6,000'",283.5,0.01,171.0
12,HEII,"6,000-7,000'",1222.79,0.48,31306.0
12,HEII,"7,000-8,000'",1429.35,5.12,390262.0
12,HEII,"8,000-9,000'",1112.55,12.87,763539.0
12,HEII,"9,000-10,000'",678.57,18.89,683666.0
12,HEII,"10,000-11,000'",184.94,23.41,230906.0
12,HEII,"11,000-12,000'",6.27,23.7,7932.0
12,HEII,"12,000-13,000'",0.29,21.69,335.0
13,HGH,"3,000-4,000'",103.76,0.28,1525.0
13,HGH,"4,000-5,000'",290.73,3.16,49040.0
