,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,28,41,4.3,7.2,61.2,"124,153",321.4,4.3 ( 7 ),7.5 ( 7 ),8
1. Upper Sacramento,33,47,4.8,7.8,64.7,"47,963",115.2,8.1 ( 2 ),11.4 ( 2 ),10.5
2. McCloud,37,51,4.5,7,75.6,"61,626",164.9,10.6 ( 1 ),15.5 ( 1 ),16.5
3. Pit,21,35,1.2,2.2,23.9,"243,337","2,086.20",7.7 ( 5 ),10.0 ( 5 ),5.1
4. Sacramento at Bend Bridge,21,30,2,3.3,22.7,"42,561",240,NA,NA,8.9
5. Feather§,45,76,2.6,4.9,68,"556,538","2,117.50",8.6 ( 7 ),13.5 ( 7 ),10.1
6. Yuba,33,66,4.1,9.7,67,"272,739",525.6,13.2 ( 4 ),20.8 ( 4 ),14.2
7. American,36,70,5.4,10.8,67.1,"466,773",807,9.1 ( 12 ),15.0 ( 13 ),13.1
8. Cosumnes,17,89,1.6,8.4,63.1,"41,298",91.9,NA,NA,9.5
9. Mokelumne,42,80,6.2,12.5,73.3,"212,312",317.9,12.1 ( 3 ),20.3 ( 3 ),14.5
10. Stanislaus,47,75,6.9,12.2,66.6,"366,619",562.9,14.7 ( 4 ),21.3 ( 4 ),13.6
11. Tuolumne§,50,84,7.6,13.9,76.7,"679,545",915,11.4 ( 7 ),16.7 ( 8 ),15.4
12. Merced,57,96,6.4,15,79.9,"430,748",539.4,17.5 ( 2 ),25.8 ( 2 ),19
13. San Joaquin,61,102,8.9,16.1,87.3,"1,052,317","1,225.40",10.8 ( 7 ),20.0 ( 7 ),19.1
14. Kings§,61,101,9,16,77.6,"1,034,779","1,213.40",15.6 ( 7 ),23.6 ( 7 ),17.7
15. Kaweah§,47,102,3.7,9.6,62.1,"160,887",314.4,12.1 ( 1 ),12.7 ( 2 ),13.7
16. Tule,20,56,1,3.1,18.1,"23,053",137.6,1.4 ( 1 ),10.4 ( 1 ),7.6
17. Kern§,56,105,3.5,7.4,53.5,"661,399","1,682.80",11.5 ( 5 ),18.0 ( 5 ),8.4
18. Truckee,54,86,7.2,11.7,81,"265,950",425.4,9.8 ( 6 ),15.2 ( 6 ),15
19. Tahoe,31,50,4.1,7.2,43.8,"196,034",508.3,9.4 ( 7 ),14.6 ( 7 ),12.9
20. W Carson,63,92,9.8,15.8,89.9,"54,976",65.3,13.1 ( 3 ),18.7 ( 3 ),17.1
21. E Carson,63,93,6.9,11.3,86.6,"213,589",355.2,7.7 ( 4 ),12.1 ( 4 ),11.4
22. W Walker,63,85,9.2,14.3,89.3,"137,109",179.8,13.3 ( 4 ),18.9 ( 4 ),16.5
23. E Walker,48,62,3.9,5.7,90,"107,434",356.3,10.7 ( 1 ),13.9 ( 1 ),9.3
24. Mono,43,54,2.1,3,77.4,"176,407","1,085.80",NA,NA,7
25. Upper Owens,67,94,5.3,7.9,86.6,"160,643",382.7,21.2 ( 1 ),26.9 ( 1 ),15.6
26. Owens,67,89,2.6,4.1,42.6,"387,199","1,772.90",9.5 ( 4 ),13.7 ( 4 ),4.5
