No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
01,AND,"4,000-5,000'",75.39,0.0,0.0
01,AND,"5,000-6,000'",253.77,0.0,26.0
01,AND,"6,000-7,000'",293.53,0.86,13505.0
01,AND,"7,000-8,000'",201.45,8.14,87453.0
01,AND,"8,000-9,000'",130.99,19.91,139103.0
01,AND,"9,000-10,000'",20.56,24.5,26860.0
02,BEU,"3,000-4,000'",33.2,0.0,0.0
02,BEU,"4,000-5,000'",160.52,0.0,0.0
02,BEU,"5,000-6,000'",188.42,0.02,193.0
02,BEU,"6,000-7,000'",51.54,3.27,8995.0
02,BEU,"7,000-8,000'",13.61,10.77,7818.0
03,BUL,"2,000-3,000'",35.81,0.0,0.0
03,BUL,"3,000-4,000'",216.02,0.0,0.0
03,BUL,"4,000-5,000'",227.51,0.0,0.0
03,BUL,"5,000-6,000'",71.53,0.0,0.0
03,BUL,"6,000-7,000'",1.74,0.0,0.0
04,BUM,"3,000-4,000'",13.03,0.05,34.0
04,BUM,"4,000-5,000'",25.97,2.11,2923.0
04,BUM,"5,000-6,000'",27.12,9.73,14082.0
04,BUM,"6,000-7,000'",3.28,18.78,3286.0
04,BUM,"7,000-8,000'",0.1,19.65,101.0
05,CCL,"2,000-3,000'",4.15,0.0,0.0
05,CCL,"3,000-4,000'",2.12,0.0,0.0
05,CCL,"4,000-5,000'",0.39,0.0,0.0
06,CCR,"2,000-3,000'",7.72,0.0,0.0
06,CCR,"3,000-4,000'",30.31,0.0,0.0
06,CCR,"4,000-5,000'",38.13,0.62,1252.0
06,CCR,"5,000-6,000'",24.61,9.38,12315.0
06,CCR,"6,000-7,000'",9.65,19.14,9852.0
06,CCR,"7,000-8,000'",2.12,20.57,2330.0
07,CLE,"2,000-3,000'",29.25,0.04,60.0
07,CLE,"3,000-4,000'",52.41,2.72,7598.0
07,CLE,"4,000-5,000'",65.06,8.71,30206.0
07,CLE,"5,000-6,000'",43.34,20.92,48346.0
07,CLE,"6,000-7,000'",11.29,28.24,17010.0
07,CLE,"7,000-8,000'",0.68,39.88,1437.0
08,CMO,"4,000-5,000'",6.27,0.0,0.0
08,CMO,"5,000-6,000'",8.59,2.28,1046.0
08,CMO,"6,000-7,000'",16.41,15.43,13508.0
08,CMO,"7,000-8,000'",17.18,26.4,24189.0
08,CMO,"8,000-9,000'",5.12,27.86,7601.0
08,CMO,"9,000-10,000'",0.19,23.7,244.0
