No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
01,AND,"4,000-5,000'",75.39,0.0,0.0
01,AND,"5,000-6,000'",253.77,0.0,30.0
01,AND,"6,000-7,000'",293.53,1.22,19177.0
01,AND,"7,000-8,000'",201.45,8.5,91287.0
01,AND,"8,000-9,000'",130.99,16.49,115213.0
01,AND,"9,000-10,000'",20.56,19.29,21148.0
02,BEU,"3,000-4,000'",33.2,0.0,0.0
02,BEU,"4,000-5,000'",160.52,0.0,0.0
02,BEU,"5,000-6,000'",188.42,0.03,251.0
02,BEU,"6,000-7,000'",51.54,3.95,10867.0
02,BEU,"7,000-8,000'",13.61,12.4,9004.0
03,BUL,"2,000-3,000'",35.81,0.0,0.0
03,BUL,"3,000-4,000'",216.02,0.0,0.0
03,BUL,"4,000-5,000'",227.51,0.0,0.0
03,BUL,"5,000-6,000'",71.53,0.0,0.0
03,BUL,"6,000-7,000'",1.74,0.0,0.0
04,BUM,"3,000-4,000'",13.03,0.5,349.0
04,BUM,"4,000-5,000'",25.97,3.41,4726.0
04,BUM,"5,000-6,000'",27.12,11.63,16831.0
04,BUM,"6,000-7,000'",3.28,20.9,3659.0
04,BUM,"7,000-8,000'",0.1,21.89,113.0
05,CCL,"2,000-3,000'",4.15,0.0,0.0
05,CCL,"3,000-4,000'",2.12,0.0,0.0
05,CCL,"4,000-5,000'",0.39,3.18,65.0
06,CCR,"2,000-3,000'",7.72,0.0,0.0
06,CCR,"3,000-4,000'",30.31,0.24,391.0
06,CCR,"4,000-5,000'",38.13,6.2,12610.0
06,CCR,"5,000-6,000'",24.61,17.07,22406.0
06,CCR,"6,000-7,000'",9.65,21.54,11089.0
06,CCR,"7,000-8,000'",2.12,22.22,2517.0
07,CLE,"2,000-3,000'",29.25,0.66,1025.0
07,CLE,"3,000-4,000'",52.41,4.5,12569.0
07,CLE,"4,000-5,000'",65.06,11.86,41138.0
07,CLE,"5,000-6,000'",43.34,24.96,57703.0
07,CLE,"6,000-7,000'",11.29,32.4,19517.0
07,CLE,"7,000-8,000'",0.68,46.39,1672.0
08,CMO,"4,000-5,000'",6.27,0.0,0.0
08,CMO,"5,000-6,000'",8.59,4.47,2046.0
08,CMO,"6,000-7,000'",16.41,16.07,14061.0
08,CMO,"7,000-8,000'",17.18,22.39,20520.0
08,CMO,"8,000-9,000'",5.12,23.34,6369.0
08,CMO,"9,000-10,000'",0.19,21.08,217.0
09,CSC,"4,000-5,000'",147.49,0.11,855.0
09,CSC,"5,000-6,000'",191.7,2.67,27260.0
09,CSC,"6,000-7,000'",159.36,12.06,102513.0
09,CSC,"7,000-8,000'",109.46,20.5,119661.0
09,CSC,"8,000-9,000'",6.18,23.32,7684.0
10,DED,"5,000-6,000'",29.83,5.67,9012.0
10,DED,"6,000-7,000'",40.06,13.02,27821.0
10,DED,"7,000-8,000'",37.64,18.81,37771.0
10,DED,"8,000-9,000'",1.64,21.08,1844.0
11,GRS,"7,000-8,000'",3.76,7.9,1586.0
11,GRS,"8,000-9,000'",0.1,12.44,64.0
12,HEII,"5,000-6,000'",283.5,0.01,208.0
12,HEII,"6,000-7,000'",1222.79,0.59,38675.0
12,HEII,"7,000-8,000'",1429.35,4.96,378358.0
12,HEII,"8,000-9,000'",1112.55,11.89,705743.0
12,HEII,"9,000-10,000'",678.57,17.23,623609.0
12,HEII,"10,000-11,000'",184.94,21.31,210180.0
12,HEII,"11,000-12,000'",6.27,21.19,7091.0
12,HEII,"12,000-13,000'",0.29,19.71,304.0
13,HGH,"3,000-4,000'",103.76,0.44,2430.0
13,HGH,"4,000-5,000'",290.73,3.51,54468.0
13,HGH,"5,000-6,000'",479.06,9.41,240487.0
13,HGH,"6,000-7,000'",529.73,16.84,475883.0
13,HGH,"7,000-8,000'",246.43,22.02,289389.0
13,HGH,"8,000-9,000'",11.1,25.45,15066.0
14,HRSI,"2,000-3,000'",6.37,0.0,0.0
14,HRSI,"3,000-4,000'",109.36,0.0,0.0
14,HRSI,"4,000-5,000'",313.8,0.0,0.0
14,HRSI,"5,000-6,000'",431.28,1.0,22920.0
14,HRSI,"6,000-7,000'",336.68,8.78,157727.0
