,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,3,5,0.1,0.2,13.1,"87,253","7,233.40",1.7 ( 1 ),1.8 ( 1 ),0.1
2. Bighorn,38,47,1.4,1.7,48.8,"783,859","8,864.60",7.5 ( 7 ),6.9 ( 8 ),1.1
3. Cheyenne,3,5,0,0.1,4.3,"68,436","15,359.30",3.7 ( 2 ),3.8 ( 2 ),0.2
4. Gallatin,66,72,4,4.6,41.5,"457,324","1,848.40",12.3 ( 4 ),13.2 ( 4 ),5.3
5. Glendo,37,49,2.7,4.1,57.2,"154,950",714.1,2.6 ( 4 ),3.2 ( 4 ),0.7
6. Jefferson,62,75,3.8,4.8,48.8,"2,237,634","8,812.20",8.7 ( 14 ),9.4 ( 14 ),3.6
7. Lower Bighorn,16,17,0.3,0.4,8.2,"72,995","3,259.10",NA,NA,0.3
8. Lower No Platte,7,22,0.4,1.4,29,"60,855",824,NA,NA,0.3
9. Lower Shoshone,8,15,0.2,0.3,11.8,"23,007","1,474.60",NA,NA,0
10. Madison Headwaters in WY,76,84,4.9,5.8,54.3,"787,370","2,557.60",11.3 ( 7 ),12.6 ( 7 ),8
11. Powder,11,12,0.2,0.3,8.9,"201,513","13,397.20",3.9 ( 5 ),4.0 ( 5 ),0.3
12. Smith-Judith-Musselshell,66,82,2.9,3.9,71.5,"1,722,140","8,339.80",8.0 ( 9 ),8.3 ( 9 ),0.8
13. Snake,97,101,9.2,10,89,"3,071,202","5,741.50",14.1 ( 11 ),15.1 ( 11 ),11.5
14. Sun-Teton-Marias,30,40,0.8,1.2,12.3,"667,166","10,541.30",5.6 ( 5 ),5.8 ( 5 ),1.6
15. Sweetwater,34,39,2.1,2.3,33.4,"149,081","1,201.20",6.4 ( 2 ),7.6 ( 2 ),1
16. Tongue,16,17,0.4,0.4,6,"124,158","5,405.20",3.3 ( 6 ),3.6 ( 5 ),0.4
17. Upper Clark Fork,68,88,3.6,4.9,52.6,"1,575,415","6,006.90",9.2 ( 11 ),9.9 ( 11 ),5.6
18. Upper Green,51,60,3.7,4.7,47.7,"2,389,710","9,583.60",8.2 ( 21 ),9.0 ( 21 ),3.7
19. Upper Missouri,35,52,1.5,2.3,30.6,"356,597","2,956.30",4.3 ( 2 ),5.1 ( 2 ),1.7
20. Upper No Platte,31,38,2,2.6,35.2,"1,053,557","7,590.10",10.8 ( 16 ),11.8 ( 16 ),2.9
21. Upper Shoshone,105,103,6.8,7.2,53.8,"579,080","1,505.30",9.8 ( 4 ),10.2 ( 4 ),8.2
22. Upper Snake Basins,60,69,3.9,4.8,62.3,"1,787,016","6,974.50",7.4 ( 10 ),10.6 ( 11 ),4.7
23. Upper Yellowstone,91,96,4.6,5.2,47.8,"3,117,971","11,233.00",11.1 ( 20 ),11.6 ( 20 ),6
24. Wind,56,61,2.1,2.4,24.9,"1,006,174","7,750.00",7.2 ( 9 ),7.9 ( 9 ),2.5
25. Wood and Lost Basins,52,73,3.8,5.5,65.1,"2,183,377","7,420.10",8.6 ( 16 ),9.8 ( 16 ),4.1
