,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,44,47,3.6,3.8,45.3,"1,278,402","6,323.40",7.7 ( 17 ),8.5 ( 17 ),3.2
2. Beaver,16,17,0.5,0.5,7,"23,008",835.5,6.1 ( 1 ),6.3 ( 1 ),0.8
3. Blue,48,51,4.1,4.3,57.3,"158,314",683.9,5.3 ( 5 ),5.7 ( 5 ),4.1
4. Canadian,6,4,0.2,0.1,2.3,"8,022","1,265.80",3.0 ( 2 ),3.2 ( 2 ),0.6
5. Colorado Headwaters,45,48,3.7,3.8,56.3,"588,814","2,906.10",5.6 ( 13 ),6.3 ( 13 ),3.9
6. Colorado Headwaters-Plateau,36,36,2.8,2.7,39.7,"263,456","1,813.00",4.3 ( 1 ),4.9 ( 1 ),1.9
7. Eagle,34,35,2.8,2.9,37.1,"140,312",918,4.1 ( 3 ),4.6 ( 3 ),3.9
8. Gila,9,10,0,0,1.3,"12,078","4,926.30",0.8 ( 6 ),0.9 ( 6 ),0.1
9. Gunnison,43,45,3.2,3.4,54.1,"1,182,300","6,459.70",5.0 ( 11 ),5.7 ( 11 ),3.6
10. Little Colorado,1,1,0,0,0.4,"11,549","16,398.00",2.2 ( 5 ),2.7 ( 5 ),0
11. Lower Colorado Mainstream,3,3,0,0,0.6,"17,970","10,697.40",2.5 ( 5 ),2.7 ( 5 ),0.1
12. Lower Green,31,33,2.3,2.5,33.5,"745,511","5,693.80",4.2 ( 24 ),4.8 ( 24 ),2.9
13. Lower Rio Grande,10,8,0.2,0.2,3.3,"14,759","1,796.70",2.3 ( 6 ),2.5 ( 6 ),0.5
14. Lower Sevier,9,10,0.4,0.5,7,"21,849",906.4,2.6 ( 4 ),3.7 ( 3 ),1.3
15. Pecos,28,24,1.1,0.9,19.2,"16,418",332.1,1.7 ( 2 ),1.5 ( 2 ),1.6
16. Provo-Utah Lake-Jordan,23,25,1.6,1.8,23.5,"253,703","2,694.10",6.3 ( 18 ),7.9 ( 16 ),2.8
17. Rio Chama-Upper Rio Grande,16,17,0.6,0.5,11.4,"152,117","5,227.90",3.3 ( 13 ),3.7 ( 13 ),1.3
18. Rio Grande Headwaters,25,27,1.2,1.2,16.7,"484,556","7,613.30",3.8 ( 14 ),4.3 ( 14 ),1.4
19. Roaring Fork,42,44,4,4.3,56.8,"309,745","1,360.30",5.6 ( 7 ),6.3 ( 7 ),4.9
20. Salt§,8,7,0.1,0.1,3.9,"11,468","2,360.60",0.9 ( 8 ),1.0 ( 8 ),0.3
21. San Juan**,17,17,0.9,0.9,12.4,"318,659","6,425.50",3.9 ( 14 ),5.0 ( 14 ),1.4
22. San Pitch,21,23,1.2,1.4,18.3,"62,493",859.5,4.6 ( 6 ),5.4 ( 6 ),1.9
23. South Platte,20,20,0.9,0.9,11,"259,552","5,641.90",4.6 ( 21 ),5.0 ( 21 ),1.2
24. Southwestern Utah,10,11,0.2,0.2,3.7,"17,638","1,446.90",1.5 ( 5 ),1.7 ( 5 ),0.3
25. Toole Valley-Vernon Creek,8,10,0.3,0.3,3.4,"13,365",902.1,2.6 ( 4 ),2.7 ( 4 ),0.5
26. Upper Arkansas,23,23,0.8,0.8,10.8,"252,011","5,892.20",2.7 ( 7 ),3.1 ( 7 ),0.7
27. Upper Colorado-Dirty Devil,16,18,0.7,0.8,11.1,"111,354","2,608.00",2.9 ( 7 ),3.2 ( 7 ),1.8
28. Upper Colorado-Dolores,27,28,1.6,1.7,28.2,"305,943","3,453.30",5.3 ( 9 ),6.0 ( 9 ),2.4
29. Upper Sevier,17,18,0.8,0.9,13.9,"180,727","3,767.80",3.1 ( 15 ),3.2 ( 16 ),1.4
30. Verde,0,0,0,0,0,98,"1,820.70",0.6 ( 7 ),0.3 ( 7 ),0.1
31. Weber-Ogden,26,28,2.2,2.4,31.7,"259,748","2,046.60",5.6 ( 17 ),6.9 ( 16 ),2.8
32. White-Yampa,41,43,3.5,3.5,50.2,"1,100,008","5,952.40",8.0 ( 15 ),9.2 ( 15 ),3.4
33. Animas,31,31,2.5,2.6,30.1,"128,135",922.5,4.3 ( 5 ),5.5 ( 6 ),3.5
