,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,29,28,4.7,4.3,57.1,"73,077",321.4,4.1 ( 7 ),4.3 ( 7 ),4.1
1. Upper Sacramento,35,33,5.5,4.8,61.9,"29,263",115.2,7.9 ( 2 ),8.1 ( 2 ),7.3
2. McCloud,36,37,4.8,4.5,70.9,"39,749",164.9,9.6 ( 1 ),10.6 ( 1 ),12.7
3. Pit,19,21,1.1,1.2,16.6,"135,577","2,086.20",6.5 ( 5 ),7.7 ( 5 ),3.1
4. Sacramento at Bend Bridge,23,21,2.1,2,21.4,"25,938",240,NA,NA,4.5
5. Feather§,37,45,4,2.6,56.2,"298,999","2,117.50",8.7 ( 7 ),8.6 ( 7 ),5.1
6. Yuba§,30,33,3.8,4.1,46.5,"116,312",525.6,11.7 ( 4 ),13.2 ( 4 ),6.4
7. American,34,36,4.8,5.4,46.9,"230,531",807,7.7 ( 13 ),9.1 ( 12 ),5.6
8. Cosumnes,15,17,1.3,1.6,15,"7,848",91.9,NA,NA,1.2
9. Mokelumne,43,42,5.9,6.2,49.8,"104,579",317.9,11.1 ( 3 ),12.1 ( 3 ),6.7
10. Stanislaus,47,47,6.6,6.9,53.4,"208,570",562.9,13.8 ( 4 ),14.7 ( 4 ),6.4
11. Tuolumne§,55,50,8.1,7.6,52.8,"370,882",915,9.5 ( 8 ),11.4 ( 7 ),8.6
12. Merced§,61,57,8.1,6.4,59.2,"182,730",539.4,16.6 ( 2 ),17.5 ( 2 ),11.8
13. San Joaquin§,67,61,9.5,8.9,63.3,"581,118","1,225.40",9.5 ( 7 ),10.8 ( 7 ),12.4
14. Kings§,71,61,9.7,9,55.8,"585,211","1,213.40",15.2 ( 7 ),15.6 ( 7 ),10.8
15. Kaweah§,51,47,5.1,3.7,31.4,"62,863",314.4,11.4 ( 1 ),12.1 ( 1 ),6.1
16. Tule,21,20,1,1,7.3,"7,526",137.6,1.7 ( 1 ),1.4 ( 1 ),0.8
17. Kern§,64,56,3.9,3.5,30.6,"318,516","1,682.80",10.9 ( 5 ),11.5 ( 5 ),3.3
18. Truckee,45,54,6.1,7.2,74.6,"163,648",425.4,9.2 ( 6 ),9.8 ( 6 ),9.9
19. Tahoe,30,31,3.9,4.1,37.2,"112,223",508.3,8.8 ( 7 ),9.4 ( 7 ),8.1
20. W Carson,62,63,9.5,9.8,87.8,"34,189",65.3,12.3 ( 3 ),13.1 ( 3 ),12.2
21. E Carson,61,63,6.4,6.9,67.1,"131,628",355.2,7.2 ( 4 ),7.7 ( 4 ),7.5
22. W Walker,69,63,9.5,9.2,83.5,"88,228",179.8,12.8 ( 4 ),13.3 ( 4 ),11.8
23. E Walker,45,48,3,3.9,83.6,"73,471",356.3,9.9 ( 1 ),10.7 ( 1 ),6.4
24. Mono,41,43,1.6,2.1,60.2,"122,385","1,085.80",NA,NA,5.2
25. Upper Owens,65,67,5,5.3,80.3,"107,714",382.7,19.5 ( 1 ),21.2 ( 1 ),11.7
26. Owens,75,67,2.7,2.6,26.1,"249,148","1,772.90",8.9 ( 4 ),9.5 ( 4 ),2.3
