,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,80,63,10.3,11,58.1,"1,248,194","2,129.50",17.2 ( 6 ),17.1 ( 6 ),20.1
2. Central Puget Sound,119,82,7,7.5,31.4,"497,135","1,246.10",14.5 ( 5 ),15.9 ( 5 ),17.5
3. Hood-Sandy-Lower Deschutes,28,28,0.6,0.7,7.7,"194,012","5,083.40",5.2 ( 10 ),6.8 ( 11 ),4.1
4. Klamath,11,14,0.5,0.7,9.4,"281,950","7,543.00",3.0 ( 16 ),4.1 ( 16 ),1.7
5. Lewis,26,22,0.8,0.9,7,"27,360",583.2,9.3 ( 7 ),11.2 ( 7 ),8.1
6. Lower Cowlitz,32,31,2.2,2.5,23.4,"25,310",190.5,5.0 ( 2 ),7.4 ( 2 ),5.5
7. Naches,49,44,3.3,3.8,34.1,"123,658",614,15.2 ( 4 ),16.5 ( 4 ),13.5
8. North Puget Sound,116,83,7.4,8,33,"1,000,912","2,342.10",22.3 ( 9 ),22.9 ( 9 ),24.7
9. Olympic,50,39,7.2,8,40.3,"100,306",236.4,9.9 ( 3 ),10.3 ( 3 ),15.7
10. Rogue-Umpqua,20,24,0.6,0.8,7.3,"151,636","3,388.60",1.1 ( 6 ),2.5 ( 6 ),2.4
11. South Puget Sound,37,30,1.4,1.5,10.2,"93,974","1,146.00",6.5 ( 12 ),7.0 ( 13 ),10.1
12. Upper Columbia,63,57,5.1,5.6,42.3,"1,646,901","5,486.20",9.5 ( 7 ),9.9 ( 7 ),8.9
13. Upper Cowlitz,56,44,2.5,2.8,15.7,"108,292",717.7,11.5 ( 3 ),12.8 ( 3 ),14.4
14. Upper Deschutes-Crooked,14,19,0.6,1,11.5,"291,630","5,681.70",5.3 ( 7 ),6.3 ( 7 ),2.1
15. Upper Yakima,52,44,4.3,4.6,37,"253,045","1,031.70",7.4 ( 3 ),7.6 ( 3 ),7.8
16. Willamette,27,29,0.3,0.3,3.2,"212,084","11,470.90",2.5 ( 18 ),3.7 ( 18 ),1.3
