,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,4,4,0.2,0.1,5.9,"28,950","7,233.40",1.6 ( 1 ),1.8 ( 1 ),0.1
2. Bighorn,47,37,1.4,1.3,14.1,"606,953","8,864.60",6.4 ( 8 ),6.5 ( 8 ),0.8
3. Cheyenne,5,4,0.1,0,3.4,"37,478","15,359.30",3.6 ( 2 ),3.9 ( 2 ),0
4. Gallatin,66,58,3.4,3.5,31.7,"342,810","1,848.40",11.0 ( 4 ),11.0 ( 4 ),3.9
5. Glendo,56,44,3.8,3.5,44.7,"133,991",714.1,2.5 ( 4 ),2.5 ( 4 ),0.4
6. Jefferson,70,60,3.7,3.7,37.4,"1,723,408","8,812.20",7.7 ( 14 ),7.8 ( 14 ),2.4
7. Lower Bighorn,18,15,0.4,0.3,5.5,"56,209","3,259.10",NA,NA,0.2
8. Lower No Platte,22,8,1.1,0.5,5.2,"20,160",824,NA,NA,0
9. Lower Shoshone,12,9,0.2,0.2,2.4,"13,440","1,474.60",NA,NA,0
10. Madison Headwaters in WY,82,72,4.5,4.7,44.5,"643,912","2,557.60",10.3 ( 7 ),10.6 ( 6 ),6.3
11. Powder,13,10,0.3,0.2,3.1,"163,448","13,397.20",3.7 ( 5 ),3.7 ( 5 ),0.1
12. Smith-Judith-Musselshell,23,16,0.8,0.7,9,"298,858","8,339.80",7.2 ( 9 ),7.1 ( 9 ),0.3
13. Snake,102,92,8.2,8.7,85.1,"2,658,630","5,741.50",12.9 ( 11 ),13.0 ( 11 ),9.5
14. Sun-Teton-Marias,35,26,0.9,0.8,6.9,"427,799","10,541.30",5.5 ( 5 ),5.2 ( 5 ),0.9
15. Sweetwater,50,38,2.6,2.3,27.3,"146,885","1,201.20",6.2 ( 2 ),6.1 ( 2 ),0.6
16. Tongue,19,15,0.4,0.4,5.8,"103,384","5,405.20",3.3 ( 6 ),3.3 ( 6 ),0.3
17. Upper Clark Fork,67,54,3,2.8,28.8,"886,377","6,006.90",7.7 ( 12 ),8.3 ( 11 ),3
18. Upper Green,61,52,3.9,3.8,35.3,"1,958,095","9,583.60",7.8 ( 21 ),7.8 ( 21 ),2.9
19. Upper Missouri,26,19,1,0.8,9,"129,706","2,956.30",3.8 ( 2 ),3.7 ( 2 ),0.3
20. Upper No Platte,41,31,2.3,2.1,27.2,"857,909","7,590.10",9.7 ( 16 ),9.8 ( 16 ),2.2
21. Upper Shoshone,110,99,5.9,6.1,50.3,"491,918","1,505.30",8.9 ( 4 ),9.0 ( 4 ),6.8
22. Upper Snake Basins,60,53,3.6,3.8,50.7,"1,402,925","6,974.50",8.3 ( 11 ),6.8 ( 10 ),3.6
23. Upper Yellowstone,90,79,3.8,4,34.4,"2,398,230","11,233.00",10.0 ( 20 ),10.0 ( 20 ),4.9
24. Wind,61,52,2,2.1,18.1,"852,938","7,750.00",6.9 ( 9 ),6.9 ( 9 ),1.8
25. Wood and Lost Basins,60,52,3.8,3.8,39.8,"1,504,257","7,420.10",8.0 ( 16 ),8.0 ( 16 ),2.9
