No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
01,AND,"4,000-5,000'",75.39,0.0,0.0
01,AND,"5,000-6,000'",253.77,0.0,30.0
01,AND,"6,000-7,000'",293.53,0.97,15195.0
01,AND,"7,000-8,000'",201.45,8.98,96457.0
01,AND,"8,000-9,000'",130.99,20.75,144942.0
01,AND,"9,000-10,000'",20.56,25.44,27899.0
02,BEU,"3,000-4,000'",33.2,0.0,0.0
02,BEU,"4,000-5,000'",160.52,0.0,0.0
02,BEU,"5,000-6,000'",188.42,0.02,234.0
02,BEU,"6,000-7,000'",51.54,3.75,10299.0
02,BEU,"7,000-8,000'",13.61,11.52,8365.0
03,BUL,"2,000-3,000'",35.81,0.0,0.0
03,BUL,"3,000-4,000'",216.02,0.0,0.0
03,BUL,"4,000-5,000'",227.51,0.0,0.0
03,BUL,"5,000-6,000'",71.53,0.05,186.0
03,BUL,"6,000-7,000'",1.74,2.58,239.0
04,BUM,"3,000-4,000'",13.03,0.0,0.0
04,BUM,"4,000-5,000'",25.97,2.25,3122.0
04,BUM,"5,000-6,000'",27.12,10.58,15302.0
04,BUM,"6,000-7,000'",3.28,17.84,3123.0
04,BUM,"7,000-8,000'",0.1,16.6,85.0
05,CCL,"2,000-3,000'",4.15,0.0,0.0
05,CCL,"3,000-4,000'",2.12,0.0,0.0
05,CCL,"4,000-5,000'",0.39,0.0,0.0
06,CCR,"2,000-3,000'",7.72,0.0,0.0
06,CCR,"3,000-4,000'",30.31,0.0,0.0
06,CCR,"4,000-5,000'",38.13,0.22,445.0
06,CCR,"5,000-6,000'",24.61,6.98,9162.0
06,CCR,"6,000-7,000'",9.65,16.37,8426.0
06,CCR,"7,000-8,000'",2.12,17.28,1957.0
07,CLE,"2,000-3,000'",29.25,0.05,72.0
07,CLE,"3,000-4,000'",52.41,3.03,8461.0
07,CLE,"4,000-5,000'",65.06,9.4,32615.0
07,CLE,"5,000-6,000'",43.34,22.02,50902.0
07,CLE,"6,000-7,000'",11.29,29.42,17719.0
07,CLE,"7,000-8,000'",0.68,43.51,1568.0
08,CMO,"4,000-5,000'",6.27,0.0,0.0
08,CMO,"5,000-6,000'",8.59,2.36,1081.0
08,CMO,"6,000-7,000'",16.41,15.63,13680.0
08,CMO,"7,000-8,000'",17.18,26.8,24555.0
08,CMO,"8,000-9,000'",5.12,28.41,7752.0
08,CMO,"9,000-10,000'",0.19,24.81,255.0
09,CSC,"4,000-5,000'",147.49,0.0,0.0
09,CSC,"5,000-6,000'",191.7,1.2,12302.0
09,CSC,"6,000-7,000'",159.36,10.28,87361.0
09,CSC,"7,000-8,000'",109.46,22.86,133429.0
09,CSC,"8,000-9,000'",6.18,28.31,9327.0
10,DED,"5,000-6,000'",29.83,3.43,5463.0
10,DED,"6,000-7,000'",40.06,12.64,27000.0
10,DED,"7,000-8,000'",37.64,22.63,45440.0
10,DED,"8,000-9,000'",1.64,28.88,2528.0
11,GRS,"7,000-8,000'",3.76,8.48,1702.0
11,GRS,"8,000-9,000'",0.1,14.59,75.0
12,HEII,"5,000-6,000'",283.5,0.0,0.0
12,HEII,"6,000-7,000'",1222.79,0.06,4198.0
12,HEII,"7,000-8,000'",1429.35,2.77,211306.0
12,HEII,"8,000-9,000'",1112.55,11.05,655674.0
12,HEII,"9,000-10,000'",678.57,18.78,679616.0
12,HEII,"10,000-11,000'",184.94,23.94,236100.0
12,HEII,"11,000-12,000'",6.27,23.56,7883.0
12,HEII,"12,000-13,000'",0.29,20.71,320.0
13,HGH,"3,000-4,000'",103.76,0.04,210.0
13,HGH,"4,000-5,000'",290.73,1.28,19883.0
13,HGH,"5,000-6,000'",479.06,8.4,214519.0
13,HGH,"6,000-7,000'",529.73,18.24,515397.0
13,HGH,"7,000-8,000'",246.43,24.71,324713.0
13,HGH,"8,000-9,000'",11.1,28.46,16852.0
14,HRSI,"2,000-3,000'",6.37,0.0,0.0
14,HRSI,"3,000-4,000'",109.36,0.0,0.0
14,HRSI,"4,000-5,000'",313.8,0.0,0.0
14,HRSI,"5,000-6,000'",431.28,0.37,8413.0
14,HRSI,"6,000-7,000'",336.68,6.85,122914.0
