,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,19,38,1.2,2.7,32.9,"46,356",322.7,NA,NA,1.2
2. Bitterroot,85,97,5.3,6.2,50.8,"643,490","1,955.00",10.3 ( 4 ),11.3 ( 4 ),8.8
3. Carson,55,84,2.6,4.5,56.7,"334,193","1,407.70",10.0 ( 7 ),14.9 ( 7 ),5.2
4. Clearwater Basin,93,119,3.7,4.9,48.8,"1,937,516","7,475.20",12.3 ( 10 ),13.8 ( 10 ),8.7
5. Clover Valley and Franklin,10,14,0.3,0.5,19.1,"115,525","4,115.00",3.9 ( 2 ),4.9 ( 2 ),0.6
6. Donner und Blitzen,35,57,3.6,6.4,65.5,"74,822",219.9,4.5 ( 2 ),5.2 ( 2 ),2.4
7. Dry Lake Valley,10,16,0.3,0.7,15,"11,305",296.3,NA,NA,0.9
8. Eastern Nevada,16,21,0.6,1.1,21.4,"246,563","4,375.20",3.6 ( 8 ),5.4 ( 8 ),1.3
9. Flathead,130,135,4.5,5.1,39.5,"2,087,019","7,644.30",12.9 ( 12 ),15.7 ( 13 ),9.5
10. Grande Ronde-Burnt-Powder-Imnaha,31,51,2.3,3.8,45.5,"1,075,299","5,316.00",5.8 ( 10 ),6.5 ( 11 ),3
11. Guano,2,16,0.1,0.4,7.7,"42,901","2,062.90",0.0 ( 1 ),0.4 ( 1 ),0.3
12. Harney-Malheur Lakes,4,32,0.2,1.7,24.5,"25,151",280.6,NA,NA,0.5
13. John Day,16,24,1.1,1.7,18.9,"133,489","1,504.70",3.1 ( 2 ),3.5 ( 2 ),2
14. Kootenai,92,98,3.3,3.7,29.2,"333,074","1,671.80",11.7 ( 5 ),13.4 ( 5 ),9.8
15. Lake County-Goose Lake,14,23,0.7,1.2,17.8,"236,334","3,623.70",4.2 ( 2 ),5.8 ( 2 ),1.1
16. Little Humboldt,10,16,0.6,1.1,14.4,"24,234",420.8,2.5 ( 2 ),3.3 ( 3 ),1.1
17. Lower Clark Fork,121,144,5.7,7,58.9,"552,097","1,474.70",19.2 ( 4 ),27.7 ( 4 ),12.7
18. Lower Humboldt,5,10,0.2,0.4,6.7,"6,142",272.6,0.0 ( 1 ),1.1 ( 1 ),0.6
19. Lower Pend Oreille,98,111,6.5,7.4,57.9,"52,704",133.4,10.8 ( 1 ),11.5 ( 1 ),15.5
20. Lower Snake-Asotin,32,69,0.9,2.3,48.1,"41,560",333.7,0.3 ( 1 ),0.2 ( 1 ),1.9
21. Lower Snake-Tucannon,53,85,3.2,5.7,88.5,"32,966",108.3,NA,NA,6.9
22. Lower Yakima,20,23,1.1,1.3,16.6,"33,150",485,7.5 ( 2 ),8.3 ( 2 ),3.8
23. Malheur,21,34,1.4,2.5,32.8,"132,456",989.2,2.8 ( 3 ),3.5 ( 3 ),2.1
24. Middle Humboldt,6,12,0.2,0.6,14.6,"19,687",633,NA,NA,0.9
25. Northern Big Smoky Valley,22,26,1,1.6,31.5,"47,874",572.8,NA,NA,1.7
26. Northern Great Basin,7,17,0.3,0.9,16.7,"109,005","2,224.90",1.4 ( 2 ),2.3 ( 2 ),1.3
27. Panhandle Basins,101,111,3.8,4.4,39.8,"388,159","1,644.60",14.8 ( 3 ),17.1 ( 3 ),9.8
28. Reese,18,22,1,1.4,24.3,"38,198",496.9,3.1 ( 2 ),4.8 ( 2 ),1.6
29. Rock,2,7,0.1,0.3,8.8,"14,339",835.5,5.5 ( 1 ),7.3 ( 1 ),0.3
30. Salmon Basin,83,91,6.5,7.4,69.7,"4,725,051","11,950.50",12.9 ( 11 ),13.9 ( 11 ),9.2
31. Silver,2,14,0.1,0.7,11,"16,074",444.3,NA,NA,0.4
32. Silvies,5,13,0.3,0.8,13.8,"54,925","1,317.40",1.8 ( 2 ),2.3 ( 2 ),0.5
33. Southern Snake Basins,10,28,0.4,1.3,23.2,"871,734","12,552.70",3.1 ( 11 ),3.7 ( 12 ),0.5
34. Spokane,80,112,2.2,3.2,38.4,"532,812","3,142.80",6.2 ( 8 ),7.5 ( 8 ),5.6
35. St. Mary,89,89,5.3,6.1,42.9,"215,973",668.1,1.6 ( 1 ),2.6 ( 1 ),8.1
36. Truckee,50,79,2.8,4.8,40.5,"369,426","1,443.60",10.4 ( 9 ),15.4 ( 9 ),6.2
37. Umatilla-Walla Walla-Willow,11,35,0.3,1.2,20.2,"91,121","1,434.30",4.0 ( 7 ),5.0 ( 7 ),1.2
38. Upper Humboldt,13,20,0.6,1.1,32.5,"288,446","5,035.80",3.2 ( 8 ),4.8 ( 8 ),0.8
39. Walker,44,56,2.2,3.3,62,"345,257","1,942.90",11.9 ( 7 ),16.4 ( 7 ),4.7
40. West Central Basins,49,63,4.9,6.5,66.8,"1,971,252","5,702.10",9.8 ( 15 ),10.7 ( 16 ),7.2
