,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,15,19,0.9,1.2,10.8,"20,998",322.7,NA,NA,0.7
2. Bitterroot,88,85,5.5,5.3,48.9,"556,951","1,955.00",9.6 ( 4 ),10.3 ( 4 ),8.1
3. Carson,52,55,2.4,2.6,25.2,"194,625","1,407.70",9.4 ( 7 ),10.0 ( 7 ),3.2
4. Clearwater Basin,98,93,3.8,3.7,35.6,"1,489,343","7,475.20",11.0 ( 10 ),12.3 ( 10 ),7.7
5. Clover Valley and Franklin,7,10,0.2,0.3,4.3,"58,653","4,115.00",3.6 ( 2 ),3.9 ( 2 ),0.1
6. Donner und Blitzen,26,35,2.4,3.6,40.9,"41,669",219.9,3.2 ( 2 ),4.5 ( 2 ),1.9
7. Dry Lake Valley,8,10,0.3,0.3,5.6,"5,379",296.3,NA,NA,0
8. Eastern Nevada,12,16,0.5,0.6,9.5,"144,079","4,375.20",3.2 ( 8 ),3.6 ( 8 ),0.5
9. Flathead,134,130,4.1,4.5,35.2,"1,829,294","7,644.30",13.6 ( 13 ),12.9 ( 12 ),8.4
10. Grande Ronde-Burnt-Powder-Imnaha,31,31,2.2,2.3,22.3,"646,335","5,316.00",4.8 ( 11 ),5.8 ( 10 ),2.4
11. Guano,1,2,0,0.1,0.7,"5,587","2,062.90",0.0 ( 1 ),0.0 ( 1 ),0.1
12. Harney-Malheur Lakes,3,4,0.2,0.2,2.9,"2,561",280.6,NA,NA,0.3
13. John Day,15,16,1,1.1,11.9,"84,561","1,504.70",2.5 ( 2 ),3.1 ( 2 ),1.4
14. Kootenai,116,92,3.7,3.3,28.2,"290,826","1,671.80",11.3 ( 5 ),11.7 ( 5 ),8.5
15. Lake County-Goose Lake,12,14,0.6,0.7,11.5,"132,648","3,623.70",3.6 ( 2 ),4.2 ( 2 ),0.6
16. Little Humboldt,9,10,0.5,0.6,6.7,"13,299",420.8,1.8 ( 3 ),2.5 ( 2 ),0.9
17. Lower Clark Fork,139,121,5.9,5.7,51.9,"450,506","1,474.70",24.1 ( 3 ),19.2 ( 4 ),11.6
18. Lower Humboldt,4,5,0.1,0.2,1.8,"2,520",272.6,0.0 ( 1 ),0.0 ( 1 ),0.1
19. Lower Pend Oreille,100,98,6.5,6.5,54.9,"45,943",133.4,10.0 ( 1 ),10.8 ( 1 ),13.9
20. Lower Snake-Asotin,26,32,0.8,0.9,16.5,"16,234",333.7,0.0 ( 1 ),0.3 ( 1 ),1.5
21. Lower Snake-Tucannon,45,53,2.8,3.2,51.5,"18,334",108.3,NA,NA,5.9
22. Lower Yakima,19,20,1,1.1,15.7,"28,119",485,7.7 ( 2 ),7.5 ( 2 ),2.5
23. Malheur,19,21,1.3,1.4,20.5,"75,909",989.2,2.6 ( 3 ),2.8 ( 3 ),1.6
24. Middle Humboldt,6,6,0.2,0.2,2.1,"7,091",633,NA,NA,0.2
25. Northern Big Smoky Valley,17,22,0.7,1,16.3,"31,461",572.8,NA,NA,0.9
26. Northern Great Basin,6,7,0.3,0.3,4,"38,363","2,224.90",1.2 ( 2 ),1.4 ( 2 ),0.6
27. Panhandle Basins,114,101,3.9,3.8,37.2,"332,596","1,644.60",14.4 ( 3 ),14.8 ( 3 ),8.4
28. Reese,14,18,0.6,1,14.1,"25,464",496.9,2.7 ( 2 ),3.1 ( 2 ),0.6
29. Rock,2,2,0.1,0.1,0.8,"3,741",835.5,5.2 ( 1 ),5.5 ( 1 ),0.1
30. Salmon Basin,81,83,6.5,6.5,67.9,"4,129,849","11,950.50",11.6 ( 11 ),12.9 ( 11 ),8.4
31. Silver,1,2,0.1,0.1,1.5,"1,969",444.3,NA,NA,0.3
32. Silvies,5,5,0.3,0.3,4.6,"18,906","1,317.40",1.3 ( 2 ),1.8 ( 2 ),0.4
33. Southern Snake Basins,9,10,0.4,0.4,4.1,"257,750","12,552.70",2.6 ( 11 ),3.1 ( 11 ),0.3
34. Spokane,89,80,2.3,2.2,27,"371,448","3,142.80",5.6 ( 8 ),6.2 ( 8 ),4.5
35. St. Mary,87,89,4.8,5.3,35.9,"190,177",668.1,1.6 ( 1 ),1.6 ( 1 ),7.3
36. Truckee,42,50,2.4,2.8,28.6,"218,649","1,443.60",9.8 ( 9 ),10.4 ( 9 ),3.7
37. Umatilla-Walla Walla-Willow,8,11,0.3,0.3,4.9,"24,633","1,434.30",3.4 ( 7 ),4.0 ( 7 ),0.8
38. Upper Humboldt,11,13,0.5,0.6,6.9,"150,329","5,035.80",3.0 ( 8 ),3.2 ( 8 ),0.4
39. Walker,40,44,1.7,2.2,41.5,"225,344","1,942.90",11.2 ( 7 ),11.9 ( 7 ),3
40. West Central Basins,48,49,4.8,4.9,52.5,"1,490,500","5,702.10",7.7 ( 14 ),9.8 ( 15 ),6.2
