No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
01,AND,"4,000-5,000'",75.39,0.0,0.0
01,AND,"5,000-6,000'",253.77,0.0,0.0
01,AND,"6,000-7,000'",293.53,0.91,14259.0
01,AND,"7,000-8,000'",201.45,8.51,91383.0
01,AND,"8,000-9,000'",130.99,15.99,111670.0
01,AND,"9,000-10,000'",20.56,17.98,19712.0
02,BEU,"3,000-4,000'",33.2,0.0,0.0
02,BEU,"4,000-5,000'",160.52,0.0,0.0
02,BEU,"5,000-6,000'",188.42,0.03,314.0
02,BEU,"6,000-7,000'",51.54,4.21,11560.0
02,BEU,"7,000-8,000'",13.61,12.31,8932.0
03,BUL,"2,000-3,000'",35.81,0.0,0.0
03,BUL,"3,000-4,000'",216.02,0.0,0.0
03,BUL,"4,000-5,000'",227.51,0.0,0.0
03,BUL,"5,000-6,000'",71.53,0.01,24.0
03,BUL,"6,000-7,000'",1.74,1.47,136.0
04,BUM,"3,000-4,000'",13.03,0.0,0.0
04,BUM,"4,000-5,000'",25.97,1.73,2398.0
04,BUM,"5,000-6,000'",27.12,9.23,13357.0
04,BUM,"6,000-7,000'",3.28,18.67,3267.0
04,BUM,"7,000-8,000'",0.1,19.86,102.0
05,CCL,"2,000-3,000'",4.15,0.0,0.0
05,CCL,"3,000-4,000'",2.12,0.0,0.0
05,CCL,"4,000-5,000'",0.39,0.0,0.0
06,CCR,"2,000-3,000'",7.72,0.0,0.0
06,CCR,"3,000-4,000'",30.31,0.0,0.0
06,CCR,"4,000-5,000'",38.13,0.0,0.0
06,CCR,"5,000-6,000'",24.61,1.51,1986.0
06,CCR,"6,000-7,000'",9.65,14.18,7302.0
06,CCR,"7,000-8,000'",2.12,19.11,2164.0
07,CLE,"2,000-3,000'",29.25,0.0,0.0
07,CLE,"3,000-4,000'",52.41,1.61,4501.0
07,CLE,"4,000-5,000'",65.06,7.62,26425.0
07,CLE,"5,000-6,000'",43.34,20.19,46659.0
07,CLE,"6,000-7,000'",11.29,28.7,17286.0
07,CLE,"7,000-8,000'",0.68,43.47,1566.0
08,CMO,"4,000-5,000'",6.27,0.0,0.0
08,CMO,"5,000-6,000'",8.59,2.58,1181.0
08,CMO,"6,000-7,000'",16.41,13.55,11857.0
08,CMO,"7,000-8,000'",17.18,21.18,19406.0
08,CMO,"8,000-9,000'",5.12,21.79,5946.0
08,CMO,"9,000-10,000'",0.19,19.6,202.0
09,CSC,"4,000-5,000'",147.49,0.0,0.0
09,CSC,"5,000-6,000'",191.7,1.18,12053.0
09,CSC,"6,000-7,000'",159.36,9.71,82568.0
09,CSC,"7,000-8,000'",109.46,18.6,108602.0
09,CSC,"8,000-9,000'",6.18,21.4,7052.0
10,DED,"5,000-6,000'",29.83,2.92,4644.0
10,DED,"6,000-7,000'",40.06,11.58,24750.0
10,DED,"7,000-8,000'",37.64,18.12,36376.0
10,DED,"8,000-9,000'",1.64,21.39,1872.0
11,GRS,"7,000-8,000'",3.76,7.74,1553.0
11,GRS,"8,000-9,000'",0.1,13.17,68.0
12,HEII,"5,000-6,000'",283.5,0.0,0.0
12,HEII,"6,000-7,000'",1222.79,0.04,2367.0
12,HEII,"7,000-8,000'",1429.35,2.2,168014.0
12,HEII,"8,000-9,000'",1112.55,9.69,574838.0
12,HEII,"9,000-10,000'",678.57,17.2,622381.0
12,HEII,"10,000-11,000'",184.94,22.16,218575.0
12,HEII,"11,000-12,000'",6.27,21.93,7339.0
12,HEII,"12,000-13,000'",0.29,19.34,299.0
13,HGH,"3,000-4,000'",103.76,0.02,120.0
13,HGH,"4,000-5,000'",290.73,1.01,15694.0
13,HGH,"5,000-6,000'",479.06,7.26,185571.0
13,HGH,"6,000-7,000'",529.73,16.74,472895.0
13,HGH,"7,000-8,000'",246.43,23.06,303097.0
13,HGH,"8,000-9,000'",11.1,26.92,15935.0
14,HRSI,"2,000-3,000'",6.37,0.0,0.0
14,HRSI,"3,000-4,000'",109.36,0.0,0.0
14,HRSI,"4,000-5,000'",313.8,0.0,0.0
14,HRSI,"5,000-6,000'",431.28,0.41,9416.0
14,HRSI,"6,000-7,000'",336.68,6.93,124509.0
14,HRSI,"7,000-8,000'",218.63,14.41,168052.0
14,HRSI,"8,000-9,000'",63.22,18.37,61928.0
