,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,41,29,4.9,4.7,54.5,"79,760",321.4,4.4 ( 7 ),4.1 ( 7 ),2.5
1. Upper Sacramento,45,35,5.5,5.5,61.5,"33,538",115.2,9.9 ( 2 ),7.9 ( 2 ),5.8
2. McCloud,48,36,4.9,4.8,73.1,"42,135",164.9,9.7 ( 1 ),9.6 ( 1 ),11.2
3. Pit,26,19,1.3,1.1,16.8,"118,669","2,086.20",6.3 ( 5 ),6.5 ( 5 ),1.6
4. Sacramento at Bend Bridge,30,23,2.3,2.1,23.2,"27,277",240,NA,NA,3.2
5. Feather,55,37,4.8,4,57.9,"455,139","2,117.50",9.6 ( 7 ),8.7 ( 7 ),4.8
6. Yuba§,37,30,4.5,3.8,45.9,"105,299",525.6,11.9 ( 4 ),11.7 ( 4 ),5.7
7. American,41,34,5.4,4.8,46.9,"206,411",807,8.0 ( 13 ),7.7 ( 13 ),4.9
8. Cosumnes,24,15,2,1.3,13.5,"6,267",91.9,NA,NA,0.8
9. Mokelumne,47,43,6.1,5.9,47.6,"100,265",317.9,11.4 ( 3 ),11.1 ( 3 ),6.2
10. Stanislaus,53,47,6.8,6.6,52.8,"197,800",562.9,11.8 ( 4 ),13.8 ( 4 ),5.5
11. Tuolumne§,55,55,7.7,8.1,54,"396,601",915,9.7 ( 8 ),9.5 ( 8 ),7.6
12. Merced,63,61,7.8,8.1,59.1,"233,809",539.4,16.3 ( 2 ),16.6 ( 2 ),10
13. San Joaquin§,65,67,8.5,9.5,61.8,"623,707","1,225.40",9.9 ( 7 ),9.5 ( 7 ),10.9
14. Kings§,67,71,8.9,9.7,59.9,"630,428","1,213.40",14.4 ( 7 ),15.2 ( 7 ),10
15. Kaweah,53,51,5.3,5.1,33.8,"85,900",314.4,11.7 ( 1 ),11.4 ( 1 ),5.8
16. Tule,33,21,1.6,1,8,"7,339",137.6,2.3 ( 1 ),1.7 ( 1 ),0.8
17. Kern§,62,64,5.3,3.9,33.8,"350,603","1,682.80",11.5 ( 5 ),10.9 ( 5 ),3.1
18. Truckee,59,45,6.6,6.1,72.1,"139,139",425.4,9.7 ( 6 ),9.2 ( 6 ),8.7
19. Tahoe,36,30,4.1,3.9,37.1,"106,781",508.3,9.0 ( 7 ),8.8 ( 7 ),7.4
20. W Carson,70,62,9.1,9.5,85.7,"33,152",65.3,12.3 ( 3 ),12.3 ( 3 ),12
21. E Carson,71,61,6.6,6.4,71.4,"121,286",355.2,7.7 ( 4 ),7.2 ( 4 ),7.1
22. W Walker,68,69,8.4,9.5,86.9,"91,009",179.8,13.1 ( 4 ),12.8 ( 4 ),11
23. E Walker,47,45,3.1,3,84.7,"56,247",356.3,9.9 ( 1 ),9.9 ( 1 ),5.6
24. Mono,39,41,1.7,1.6,62,"92,794","1,085.80",NA,NA,4.5
25. Upper Owens,72,65,4.7,5,82.8,"101,133",382.7,13.2 ( 1 ),19.5 ( 1 ),10
26. Owens,69,75,2.5,2.7,28.4,"254,573","1,772.90",8.7 ( 4 ),8.9 ( 4 ),2.1
