No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
1,AND,"4,000-5,000'",75.39,0.06,244
1,AND,"5,000-6,000'",253.77,1.77,23986
1,AND,"6,000-7,000'",293.53,7.74,121163
1,AND,"7,000-8,000'",201.45,13.09,140591
1,AND,"8,000-9,000'",130.99,19.1,133397
1,AND,"9,000-10,000'",20.56,21.33,23389
2,BEU,"3,000-4,000'",33.2,0,0
2,BEU,"4,000-5,000'",160.52,0.04,323
2,BEU,"5,000-6,000'",188.42,1.84,18520
2,BEU,"6,000-7,000'",51.54,8.28,22770
2,BEU,"7,000-8,000'",13.61,15.67,11377
3,BUL,"2,000-3,000'",35.81,0,0
3,BUL,"3,000-4,000'",216.02,0,0
3,BUL,"4,000-5,000'",227.51,0,0
3,BUL,"5,000-6,000'",71.53,0.03,103
3,BUL,"6,000-7,000'",1.74,2.39,222
4,BUM,"3,000-4,000'",13.03,0.55,383
4,BUM,"4,000-5,000'",25.97,3.79,5247
4,BUM,"5,000-6,000'",27.12,12.18,17622
4,BUM,"6,000-7,000'",3.28,21.74,3805
4,BUM,"7,000-8,000'",0.1,24.28,125
5,CCL,"2,000-3,000'",4.15,0,0
5,CCL,"3,000-4,000'",2.12,0,0
5,CCL,"4,000-5,000'",0.39,6.54,135
6,CCR,"2,000-3,000'",7.72,0,0
6,CCR,"3,000-4,000'",30.31,0.19,309
6,CCR,"4,000-5,000'",38.13,6.73,13690
6,CCR,"5,000-6,000'",24.61,18.92,24834
6,CCR,"6,000-7,000'",9.65,23.32,12003
6,CCR,"7,000-8,000'",2.12,23.65,2679
7,CLE,"2,000-3,000'",29.25,0.86,1339
7,CLE,"3,000-4,000'",52.41,5.23,14632
7,CLE,"4,000-5,000'",65.06,13.37,46385
7,CLE,"5,000-6,000'",43.34,27.62,63833
7,CLE,"6,000-7,000'",11.29,36.49,21977
7,CLE,"7,000-8,000'",0.68,54.15,1951
8,CMO,"4,000-5,000'",6.27,0.07,22
8,CMO,"5,000-6,000'",8.59,5.07,2324
8,CMO,"6,000-7,000'",16.41,16.7,14617
8,CMO,"7,000-8,000'",17.18,22.49,20612
8,CMO,"8,000-9,000'",5.12,24.11,6579
8,CMO,"9,000-10,000'",0.19,21.85,225
9,CSC,"4,000-5,000'",147.49,3.47,27328
9,CSC,"5,000-6,000'",191.7,7.16,73177
9,CSC,"6,000-7,000'",159.36,15.42,131064
9,CSC,"7,000-8,000'",109.46,22.52,131472
9,CSC,"8,000-9,000'",6.18,24.7,8136
10,DED,"5,000-6,000'",29.83,9.27,14749
10,DED,"6,000-7,000'",40.06,16.51,35280
10,DED,"7,000-8,000'",37.64,21.36,42880
10,DED,"8,000-9,000'",1.64,22.73,1989
11,GRS,"7,000-8,000'",3.76,12.93,2596
11,GRS,"8,000-9,000'",0.1,17.31,89
12,HEII,"5,000-6,000'",283.5,2.56,38703
12,HEII,"6,000-7,000'",1222.79,7.38,481360
12,HEII,"7,000-8,000'",1429.35,10.66,812357
12,HEII,"8,000-9,000'",1112.55,15.05,893007
12,HEII,"9,000-10,000'",678.57,19.11,691529
