,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,54,44,4,3.6,45.5,"1,225,650","6,323.40",7.4 ( 18 ),7.7 ( 17 ),2.9
2. Beaver,22,16,0.6,0.5,7.3,"21,842",835.5,4.8 ( 2 ),6.1 ( 1 ),0.6
3. Blue,53,48,3.9,4.1,55.6,"148,895",683.9,5.2 ( 5 ),5.3 ( 5 ),3.7
4. Canadian,11,6,0.3,0.2,3.6,"11,318","1,265.80",2.9 ( 2 ),3.0 ( 2 ),0.3
5. Colorado Headwaters,50,45,3.5,3.7,54,"567,681","2,906.10",5.5 ( 13 ),5.6 ( 13 ),3.5
6. Colorado Headwaters-Plateau,42,36,2.8,2.8,39.2,"268,106","1,813.00",4.2 ( 1 ),4.3 ( 1 ),1.5
7. Eagle,38,34,2.7,2.8,37.5,"135,217",918,4.1 ( 3 ),4.1 ( 3 ),3.4
8. Gila,15,9,0.1,0,1.6,"12,589","4,926.30",0.9 ( 6 ),0.8 ( 6 ),0.1
9. Gunnison,47,43,3.3,3.2,54.1,"1,105,179","6,459.70",5.0 ( 11 ),5.0 ( 11 ),3.1
10. Little Colorado,4,1,0.1,0,0.6,"13,897","16,398.00",2.3 ( 5 ),2.2 ( 5 ),0
11. Lower Colorado Mainstream,4,3,0,0,0.5,"14,996","10,697.40",2.6 ( 5 ),2.5 ( 5 ),0
12. Lower Green,38,31,2.5,2.3,29.1,"694,604","5,693.80",4.4 ( 24 ),4.2 ( 24 ),2.1
13. Lower Rio Grande,25,10,0.6,0.2,5.7,"22,044","1,796.70",2.5 ( 6 ),2.3 ( 6 ),0.2
14. Lower Sevier,13,9,0.6,0.4,7.1,"19,258",906.4,2.6 ( 4 ),2.6 ( 4 ),0.6
15. Pecos,37,28,1.3,1.1,24.5,"18,987",332.1,2.2 ( 2 ),1.7 ( 2 ),1.8
16. Provo-Utah Lake-Jordan,28,23,1.8,1.6,22.4,"233,881","2,694.10",6.2 ( 18 ),6.3 ( 18 ),2
17. Rio Chama-Upper Rio Grande,19,16,0.7,0.6,12.9,"156,684","5,227.90",3.3 ( 13 ),3.3 ( 13 ),1
18. Rio Grande Headwaters,29,25,1.2,1.2,16.7,"476,552","7,613.30",3.9 ( 14 ),3.8 ( 14 ),1.2
19. Roaring Fork,47,42,4,4,57.1,"291,774","1,360.30",5.6 ( 7 ),5.6 ( 7 ),4.2
20. Salt§,13,8,0.2,0.1,4.5,"11,702","2,360.60",1.2 ( 8 ),0.9 ( 8 ),0.2
21. San Juan**,22,17,1.1,0.9,12.2,"309,685","6,425.50",4.4 ( 15 ),3.9 ( 14 ),1.1
22. San Pitch,23,21,1.3,1.2,18.1,"55,782",859.5,4.7 ( 6 ),4.6 ( 6 ),1.1
23. South Platte,25,20,0.9,0.9,11.4,"260,655","5,641.90",4.6 ( 21 ),4.6 ( 21 ),0.9
24. Southwestern Utah,12,10,0.2,0.2,3.8,"15,321","1,446.90",1.5 ( 5 ),1.5 ( 5 ),0.2
25. Toole Valley-Vernon Creek,12,8,0.4,0.3,3.4,"12,479",902.1,2.5 ( 4 ),2.6 ( 4 ),0.4
26. Upper Arkansas,29,23,0.9,0.8,10.9,"255,448","5,892.20",2.8 ( 7 ),2.7 ( 7 ),0.5
27. Upper Colorado-Dirty Devil,22,16,0.9,0.7,10.6,"101,770","2,608.00",2.8 ( 7 ),2.9 ( 7 ),1.3
28. Upper Colorado-Dolores,37,27,2.1,1.6,28.9,"303,320","3,453.30",5.3 ( 9 ),5.3 ( 9 ),1.8
29. Upper Sevier,21,17,1,0.8,14,"161,042","3,767.80",3.1 ( 16 ),3.1 ( 15 ),0.8
30. Verde,0,0,0,0,0,84,"1,820.70",0.7 ( 7 ),0.6 ( 7 ),0
31. Weber-Ogden,35,26,2.7,2.2,31,"245,580","2,046.60",5.7 ( 17 ),5.6 ( 17 ),2.3
32. White-Yampa,51,41,3.6,3.5,48.3,"1,107,503","5,952.40",8.0 ( 15 ),8.0 ( 15 ),2.7
33. Animas,37,31,2.6,2.5,30.1,"123,043",922.5,4.8 ( 6 ),4.3 ( 5 ),2.7
