,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,47,55,3.8,4.8,63.4,"1,632,090","6,323.40",8.5 ( 17 ),9.8 ( 18 ),4.3
2. Beaver,17,27,0.5,0.9,15.5,"40,953",835.5,6.3 ( 1 ),5.7 ( 2 ),1.7
3. Blue,51,57,4.3,5.5,65.7,"200,389",683.9,5.7 ( 5 ),6.6 ( 5 ),5
4. Canadian,4,8,0.1,0.2,6.3,"14,686","1,265.80",3.2 ( 2 ),4.4 ( 2 ),0.5
5. Colorado Headwaters,48,54,3.8,4.8,61.7,"742,944","2,906.10",6.3 ( 13 ),7.1 ( 13 ),4.6
6. Colorado Headwaters-Plateau,36,40,2.7,3.2,44.3,"313,222","1,813.00",4.9 ( 1 ),6.0 ( 1 ),2.7
7. Eagle,35,42,2.9,3.8,45.9,"184,775",918,4.6 ( 3 ),5.6 ( 3 ),4.9
8. Gila,10,22,0,0.1,2.2,"25,840","4,926.30",0.9 ( 6 ),1.0 ( 6 ),0.1
9. Gunnison,45,49,3.4,4.2,63.9,"1,446,591","6,459.70",5.7 ( 11 ),7.3 ( 11 ),4.6
10. Little Colorado,1,10,0,0.1,3.6,"73,332","16,398.00",2.7 ( 5 ),4.3 ( 5 ),0.3
11. Lower Colorado Mainstream,3,26,0,0.5,27.4,"290,231","10,697.40",2.7 ( 5 ),6.6 ( 5 ),0.8
12. Lower Green,33,53,2.5,4.2,54,"1,262,252","5,693.80",4.8 ( 24 ),6.4 ( 24 ),3.5
13. Lower Rio Grande,8,12,0.2,0.3,6,"24,027","1,796.70",2.5 ( 6 ),2.7 ( 6 ),0.5
14. Lower Sevier,10,18,0.5,0.8,12.1,"39,910",906.4,3.7 ( 3 ),4.8 ( 4 ),1.9
15. Pecos,24,36,0.9,1.5,28.4,"25,867",332.1,1.5 ( 2 ),1.5 ( 2 ),1.6
16. Provo-Utah Lake-Jordan,25,43,1.8,3.2,44.4,"455,808","2,694.10",7.9 ( 16 ),9.7 ( 18 ),3.3
17. Rio Chama-Upper Rio Grande,17,23,0.5,0.7,16.2,"203,794","5,227.90",3.7 ( 13 ),4.3 ( 13 ),1.5
18. Rio Grande Headwaters,27,37,1.2,1.7,24.7,"680,717","7,613.30",4.3 ( 14 ),5.6 ( 14 ),2.1
19. Roaring Fork,44,50,4.3,5.4,64.2,"392,126","1,360.30",6.3 ( 7 ),8.0 ( 7 ),6.4
20. Salt§,7,19,0.1,0.2,10.4,"27,022","2,360.60",1.0 ( 8 ),1.8 ( 8 ),0.5
21. San Juan**,17,32,0.9,1.6,28.3,"558,269","6,425.50",5.0 ( 14 ),7.3 ( 15 ),2.4
22. San Pitch,23,34,1.4,2.1,22.5,"95,810",859.5,5.4 ( 6 ),7.1 ( 6 ),2.1
23. South Platte,20,25,0.9,1.1,12.3,"337,656","5,641.90",5.0 ( 21 ),5.6 ( 21 ),1.4
24. Southwestern Utah,11,27,0.2,0.8,28.3,"62,090","1,446.90",1.7 ( 5 ),4.4 ( 5 ),1.7
25. Toole Valley-Vernon Creek,10,26,0.3,0.9,14.5,"42,233",902.1,2.7 ( 4 ),4.0 ( 4 ),0.8
26. Upper Arkansas,23,29,0.8,1.1,14,"331,371","5,892.20",3.1 ( 7 ),3.8 ( 7 ),0.8
27. Upper Colorado-Dirty Devil,18,37,0.8,1.9,33,"261,006","2,608.00",3.2 ( 7 ),4.6 ( 7 ),2.6
28. Upper Colorado-Dolores,28,41,1.7,2.5,48,"462,080","3,453.30",6.0 ( 9 ),8.3 ( 9 ),3.4
29. Upper Sevier,18,35,0.9,1.8,33,"362,380","3,767.80",3.2 ( 16 ),5.1 ( 16 ),2.5
30. Verde,0,23,0,0.5,18.4,"43,951","1,820.70",0.3 ( 7 ),2.3 ( 7 ),0.8
31. Weber-Ogden,28,42,2.4,3.8,53.4,"415,519","2,046.60",6.9 ( 16 ),8.2 ( 17 ),3.7
32. White-Yampa,43,49,3.5,4.2,54.6,"1,329,751","5,952.40",9.2 ( 15 ),10.3 ( 15 ),4
33. Animas,31,50,2.6,4.3,56.9,"211,402",922.5,5.5 ( 6 ),7.9 ( 6 ),5.6
