,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,92,86,10,11.2,63.5,"1,271,984","2,129.50",14.3 ( 7 ),17.1 ( 6 ),19.2
2. Central Puget Sound,142,135,6.4,6.9,30.1,"455,328","1,246.10",13.3 ( 5 ),13.0 ( 5 ),15.4
3. Hood-Sandy-Lower Deschutes,29,26,0.5,0.5,7.2,"147,519","5,083.40",4.8 ( 11 ),4.5 ( 10 ),2.9
4. Klamath,11,9,0.5,0.4,8.5,"152,046","7,543.00",2.8 ( 16 ),2.6 ( 16 ),0.6
5. Lewis,29,26,0.7,0.7,6.9,"22,441",583.2,8.7 ( 7 ),8.1 ( 7 ),4.6
6. Lower Cowlitz,37,31,1.9,2,21.5,"20,085",190.5,4.9 ( 2 ),4.3 ( 2 ),1.5
7. Naches,55,49,3.1,3.2,35.4,"104,698",614,13.5 ( 4 ),14.9 ( 4 ),10.8
8. North Puget Sound,130,124,6.7,7.4,31.1,"925,401","2,342.10",21.0 ( 9 ),21.1 ( 9 ),22.6
9. Olympic,54,49,6.7,6.7,39.3,"85,075",236.4,9.1 ( 3 ),9.1 ( 3 ),12
10. Rogue-Umpqua,22,18,0.5,0.5,5.1,"95,659","3,388.60",1.3 ( 6 ),0.8 ( 6 ),0.4
11. South Puget Sound,41,38,1.3,1.4,10.4,"84,270","1,146.00",6.2 ( 14 ),6.2 ( 13 ),8.4
12. Upper Columbia,69,64,4.9,5.7,42.2,"1,656,512","5,486.20",9.0 ( 7 ),9.4 ( 7 ),8.3
13. Upper Cowlitz,61,58,2.3,2.4,15.1,"92,862",717.7,10.2 ( 3 ),10.3 ( 3 ),11.3
14. Upper Deschutes-Crooked,13,13,0.6,0.6,8.3,"179,531","5,681.70",4.3 ( 7 ),4.3 ( 7 ),1
15. Upper Yakima,66,58,4.5,4.7,47.9,"257,585","1,031.70",6.8 ( 3 ),7.1 ( 3 ),6.8
16. Willamette,30,25,0.2,0.2,2.6,"150,102","11,470.90",2.2 ( 18 ),1.8 ( 18 ),0.4
