 ,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,55,56,0.6,0.2,4.4,"68,675","6,181",3.5 ( 18 ),1.6 ( 18 )
2. Beaver,28,22,0.1,0,1.4,"1,681",836,6.0 ( 2 ),4.5 ( 2 )
3. Blue§ ,61,69,4.2,2.2,32.8,"77,907",670,10.4 ( 5 ),7.2 ( 5 )
4. Canadian,50,67,0,0,0.3,515,"1,265",0.2 ( 2 ),0.0 ( 2 )
5. Colorado Headwaters§ ,62,76,2.2,1.1,15.6,"176,126","2,874",8.0 ( 13 ),5.7 ( 13 )
6. Colorado Headwaters-Plateau,31,37,0.5,0.2,3.3,"15,865","1,801",0.2 ( 1 ),0.0 ( 1 )
7. Eagle,50,62,2,1.2,20.7,"57,131",921,0.0 ( 3 ),0.0 ( 3 )
8. Gila,0,NA,0,0,0,0,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison§ ,38,49,0.8,0.6,8.1,"193,929","6,433",1.2 ( 11 ),0.1 ( 11 )
10. Little Colorado,16,31,0,0,0,111,"16,379",0.4 ( 5 ),0.2 ( 5 )
11. Lower Colorado Mainstream,3,1,0,0,0,5,"10,695",0.0 ( 5 ),0.0 ( 5 )
12. Lower Green§ ,39,46,0.6,0.3,8.1,"81,176","5,647",1.2 ( 23 ),0.4 ( 24 )
13. Lower Rio Grande,4,3,0,0,0,9,"1,795",0.0 ( 6 ),0.0 ( 6 )
14. Lower Sevier,41,17,0.1,0,0.3,219,897,0.2 ( 4 ),0.1 ( 4 )
15. Pecos,33,22,0.1,0,0.5,225,331,0.1 ( 2 ),0.1 ( 2 )
16. Provo-Utah Lake-Jordan§ ,36,37,0.4,0.2,4.6,"24,905","2,681",4.4 ( 16 ),1.7 ( 18 )
17. Rio Chama-Upper Rio Grande,18,29,0.1,0,0.7,"5,192","5,207",0.6 ( 13 ),0.1 ( 13 )
18. Rio Grande Headwaters§ ,31,47,0.3,0.2,4.1,"90,440","7,595",0.6 ( 14 ),0.0 ( 13 )
19. Roaring Fork§ ,47,57,3,2.3,25.7,"168,981","1,359",3.0 ( 7 ),1.0 ( 7 )
20. Salt,0,0,0,0,0,0,"2,361",0.0 ( 6 ),0.1 ( 6 )
21. San Juan,30,36,0.3,0.2,4.3,"52,079","6,406",1.4 ( 15 ),0.6 ( 15 )
22. San Pitch,36,39,0.4,0.2,6,"9,336",857,1.2 ( 6 ),0.0 ( 6 )
23. South Platte§ ,54,68,0.9,0.5,9.4,"143,782","5,620",7.7 ( 21 ),5.1 ( 21 )
24. Southwestern Utah,15,7,0,0,0.1,98,"1,440",0.0 ( 5 ),0.0 ( 5 )
25. Toole Valley-Vernon Creek,91,90,0.1,0,0.5,"1,440",906,1.8 ( 4 ),0.3 ( 4 )
26. Upper Arkansas,50,58,0.6,0.2,5.7,"76,980","5,875",0.1 ( 6 ),0.0 ( 7 )
27. Upper Colorado-Dirty Devil,17,20,0.1,0,1.2,"4,813","2,597",0.0 ( 7 ),0.0 ( 7 )
28. Upper Colorado-Dolores§ ,25,35,0.3,0.1,2.6,"27,331","3,434",2.0 ( 8 ),2.0 ( 7 )
29. Upper Sevier,22,20,0.1,0,1,"5,170","3,758",0.8 ( 16 ),0.5 ( 16 )
30. Verde,19,43,0,0,0,25,"1,816",0.1 ( 7 ),0.0 ( 7 )
31. Weber-Ogden,40,36,0.5,0.1,4,"15,491","2,041",1.9 ( 16 ),0.3 ( 17 )
32. White-Yampa§ ,48,73,1.2,0.7,10.1,"207,637","5,948",5.4 ( 15 ),3.4 ( 15 )
