 ,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,1,5,0,0,0,12,"7,200",0.0 ( 1 ),0.0 ( 1 )
2. Bighorn,74,101,1,0.8,8.2,"910,862","22,740",5.1 ( 20 ),4.0 ( 20 )
3. Cheyenne,0,0,0,0,0,0,"15,348",0.2 ( 1 ),0.0 ( 2 )
4. Gallatin,89,103,2.8,1.5,14.4,"147,990","1,846",17.8 ( 4 ),14.5 ( 4 )
5. Jefferson,86,112,1.5,0.6,6.2,"289,848","8,788",7.6 ( 13 ),7.5 ( 14 )
6. Madison Headwaters in WY,66,83,2.4,1.3,11.6,"172,133","2,524",9.8 ( 7 ),6.8 ( 7 )
7. North Platte,49,83,0.6,0.3,6.9,"185,672","10,281",8.4 ( 22 ),6.9 ( 22 )
8. Powder,55,125,0.1,0.1,1,"46,550","13,385",2.0 ( 5 ),1.9 ( 5 )
9. Smith-Judith-Musselshell,119,227,0.4,0.1,1.4,"51,578","8,335",9.6 ( 8 ),5.6 ( 9 )
10. Snake,83,89,4.5,2.9,26.3,"859,695","5,626",8.3 ( 11 ),6.0 ( 11 )
11. Sun-Teton-Marias,79,98,0.3,0.1,1.3,"79,783","10,463",1.0 ( 5 ),0.0 ( 4 )
12. Tongue,82,122,0.4,0.3,3.5,"73,027","5,400",4.9 ( 6 ),3.8 ( 6 )
13. Upper Clark Fork,96,126,1.2,0.5,5.3,"175,152","5,981",6.1 ( 12 ),4.1 ( 12 )
14. Upper Green,68,94,1.3,1,10,"499,979","9,539",4.8 ( 20 ),3.7 ( 20 )
15. Upper Missouri,137,228,0.4,0.2,1.6,"24,298","2,951",0.1 ( 2 ),0.0 ( 2 )
16. Upper Snake Basins,68,78,1.1,0.7,6.4,"256,456","6,875",5.2 ( 11 ),4.2 ( 11 )
17. Upper Yellowstone,83,95,2.9,2.1,19.1,"1,232,536","11,070",10.0 ( 19 ),8.3 ( 19 )
18. Wood and Lost Basins,67,93,0.9,0.4,4.3,"141,937","7,420",1.2 ( 16 ),0.4 ( 15 )
