 ,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,%3/31 Avg.,%4/6 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,148,151,6.1,6.4,43.7,"37,117",109,NA,NA
22. Lower Yakima,135,149,5.6,4.3,23.8,"111,016",489,21.1 ( 2 ),21.4 ( 2 )
23. Malheur,183,210,6.6,7.3,49.9,"387,667",992,13.4 ( 3 ),12.5 ( 3 )
24. Middle Humboldt,94,255,0.8,2.7,28.8,"91,869",633,NA,NA
25. Northern Big Smoky Valley,95,132,2.8,5.5,49.8,"166,279",570,NA,NA
26. Northern Great Basin,108,207,1.1,2.5,21.4,"291,145","2,227",5.3 ( 2 ),6.2 ( 2 )
27. Panhandle Basins,33,54,1.6,2.9,14.7,"250,402","1,643",28.2 ( 3 ),29.6 ( 3 )
28. Reese,102,147,3.4,6.4,57.9,"168,702",491,15.2 ( 2 ),16.6 ( 2 )
29. Rock,111,163,0.4,0.6,5.5,"28,431",835,17.5 ( 1 ),18.8 ( 1 )
30. Salmon Basin,117,125,11.7,12.8,63.2,"8,131,803","11,933",22.0 ( 11 ),22.5 ( 11 )
31. Silver,358,453,3.7,3.3,28.5,"75,888",431,NA,NA
32. Silvies,239,279,3,3.4,29.7,"238,918","1,316",13.9 ( 2 ),13.1 ( 2 )
33. Southern Snake Basins,107,149,1.5,2,14.7,"1,314,047","12,501",12.2 ( 13 ),13.0 ( 13 )
34. Spokane,81,88,2.2,2.6,13.8,"433,646","3,146",17.7 ( 8 ),18.1 ( 8 )
35. St. Mary,71,85,7.6,10,65,"345,539",648,8.2 ( 1 ),8.9 ( 1 )
36. Truckee,90,121,4.9,6.9,37.1,"523,387","1,420",19.9 ( 9 ),21.3 ( 9 )
37. Umatilla-Walla Walla-Willow,94,109,1.2,1.3,9.4,"102,494","1,434",18.1 ( 7 ),18.2 ( 7 )
38. Upper Humboldt,103,142,1.5,2,14.5,"541,103","5,033",14.8 ( 8 ),15.6 ( 8 )
39. Walker,89,111,3.3,4.3,31.4,"448,480","1,939",18.7 ( 7 ),19.9 ( 7 )
40. West Central Basins,127,140,12.3,14.3,70.1,"4,277,856","5,617",28.4 ( 14 ),27.0 ( 15 )
