 ,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,137,132,1.9,1,13.2,"5,951",109,NA,NA
22. Lower Yakima,59,55,0.7,0.4,3.8,"10,370",489,7.8 ( 2 ),4.7 ( 2 )
23. Malheur,179,84,1.5,0.5,5.3,"28,746",992,1.5 ( 3 ),0.0 ( 3 )
24. Middle Humboldt,71,21,0.1,0,0.1,182,633,NA,NA
25. Northern Big Smoky Valley,59,34,0.5,0.2,2.9,"5,117",570,NA,NA
26. Northern Great Basin,63,70,0.1,0.1,0.8,"7,009","2,226",0.0 ( 2 ),0.0 ( 2 )
27. Panhandle Basins,79,63,3.2,2,21.3,"178,584","1,644",25.7 ( 3 ),21.9 ( 3 )
28. Reese,69,39,0.6,0.2,3.5,"4,756",491,4.9 ( 2 ),1.6 ( 2 )
29. Rock,51,41,0,0,0.1,214,835,3.7 ( 1 ),0.0 ( 1 )
30. Salmon Basin,89,75,5.6,3.4,33.6,"2,149,982","11,932",15.4 ( 11 ),10.1 ( 11 )
31. Silver,3,90,0,0,0.3,483,431,NA,NA
32. Silvies,51,53,0.1,0.1,0.6,"3,838","1,316",0.9 ( 2 ),0.1 ( 1 )
33. Southern Snake Basins,68,54,0.2,0.1,0.9,"58,629","12,500",3.7 ( 13 ),1.7 ( 13 )
34. Spokane,90,86,1.2,0.8,8,"129,569","3,146",7.2 ( 8 ),3.1 ( 8 )
35. St. Mary,74,63,5.8,4.1,32.9,"142,398",648,0.0 ( 1 ),0.0 ( 1 )
36. Truckee,53,42,1.5,0.9,9,"71,882","1,420",12.4 ( 9 ),10.0 ( 9 )
37. Umatilla-Walla Walla-Willow,78,75,0.3,0.2,3,"14,285","1,434",10.5 ( 7 ),7.2 ( 7 )
38. Upper Humboldt,92,78,0.5,0.3,3,"81,860","5,032",6.1 ( 8 ),4.0 ( 8 )
39. Walker,73,60,1.5,1,8.1,"107,946","1,939",12.6 ( 7 ),9.6 ( 7 )
40. West Central Basins,93,73,5.1,2.8,27.7,"843,134","5,620",15.7 ( 15 ),9.3 ( 15 )
