 ,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,148,163,4.5,3.1,23.2,"17,896",109,NA,NA
22. Lower Yakima,108,104,2.2,1.6,9.7,"41,725",489,15.5 ( 2 ),11.0 ( 2 )
23. Malheur,152,161,2.8,1.9,13.9,"98,507",992,5.1 ( 3 ),3.7 ( 3 )
24. Middle Humboldt,81,154,0.2,0.1,2,"3,800",633,NA,NA
25. Northern Big Smoky Valley,57,65,0.8,0.5,8.8,"14,748",570,NA,NA
26. Northern Great Basin,61,91,0.3,0.2,1.7,"21,350","2,226",2.7 ( 2 ),0.7 ( 2 )
27. Panhandle Basins,82,102,4.5,4.4,23.6,"387,510","1,644",30.0 ( 3 ),28.6 ( 3 )
28. Reese,62,83,0.9,0.6,9.2,"15,373",491,10.2 ( 2 ),5.5 ( 2 )
29. Rock,79,157,0.1,0.1,0.6,"2,249",835,12.2 ( 1 ),7.0 ( 1 )
30. Salmon Basin,115,112,9.8,7.7,45,"4,869,485","11,932",20.6 ( 11 ),18.6 ( 11 )
31. Silver,262,74,0.2,0.1,0.6,"1,270",431,NA,NA
32. Silvies,157,124,0.6,0.3,2.6,"18,732","1,316",14.2 ( 1 ),8.0 ( 1 )
33. Southern Snake Basins,122,109,0.7,0.3,2.6,"205,133","12,500",7.7 ( 13 ),5.0 ( 13 )
34. Spokane,82,114,1.9,1.9,11.5,"313,761","3,146",14.1 ( 7 ),11.4 ( 8 )
35. St. Mary,77,78,7.9,7.1,45.7,"246,978",648,3.7 ( 1 ),0.2 ( 1 )
36. Truckee,66,65,2.6,1.9,11.7,"142,897","1,420",15.5 ( 8 ),13.4 ( 9 )
37. Umatilla-Walla Walla-Willow,114,111,1,0.5,4,"38,051","1,434",14.1 ( 7 ),13.0 ( 7 )
38. Upper Humboldt,103,119,0.9,0.6,4.6,"163,846","5,032",11.0 ( 8 ),7.7 ( 8 )
39. Walker,66,79,1.9,2.1,22.6,"216,799","1,939",15.8 ( 7 ),13.7 ( 7 )
40. West Central Basins,122,121,9.7,7.1,38.4,"2,123,736","5,620",22.8 ( 15 ),19.4 ( 15 )
