 ,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,121,83,3.9,1.9,16.8,"623,051","6,181",12.2 ( 18 ),9.7 ( 18 )
2. Beaver,60,41,0.7,0.3,5.9,"14,710",836,10.8 ( 2 ),7.5 ( 2 )
3. Blue§,90,71,10.7,7.1,44.5,"252,417",670,15.4 ( 5 ),13.9 ( 5 )
4. Canadian,50,14,0.2,0,0.5,"1,771","1,265",0.4 ( 2 ),0.1 ( 2 )
5. Colorado Headwaters§,96,68,6.7,4,31.6,"618,323","2,874",13.3 ( 13 ),11.9 ( 13 )
6. Colorado Headwaters-Plateau,78,49,3.1,1.5,15.5,"146,713","1,801",10.3 ( 1 ),7.9 ( 1 )
7. Eagle,82,62,6.6,4.1,30,"198,973",921,9.5 ( 3 ),6.5 ( 3 )
8. Gila,22,0,0,0,0,0,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison§,71,48,3.7,1.9,20.4,"659,634","6,433",7.1 ( 11 ),4.8 ( 11 )
10. Little Colorado,71,25,0,0,0,"1,545","16,379",2.2 ( 5 ),0.6 ( 5 )
11. Lower Colorado Mainstream,35,10,0,0,0.2,"1,719","10,695",1.6 ( 5 ),0.5 ( 5 )
12. Lower Green§,81,55,3.7,2,21.9,"605,334","5,647",6.9 ( 24 ),4.4 ( 24 )
13. Lower Rio Grande,41,1,0.1,0,0,39,"1,795",0.3 ( 6 ),0.0 ( 6 )
14. Lower Sevier,107,45,1,0.2,4.4,"11,477",897,8.3 ( 4 ),5.3 ( 4 )
15. Pecos,61,9,0.7,0.1,0.9,899,331,0.4 ( 2 ),0.2 ( 2 )
16. Provo-Utah Lake-Jordan§,88,61,3.2,1.7,18.5,"238,005","2,681",16.3 ( 17 ),12.5 ( 16 )
17. Rio Chama-Upper Rio Grande,46,17,0.4,0.1,1.2,"20,214","5,207",1.9 ( 13 ),0.9 ( 13 )
18. Rio Grande Headwaters,69,43,1.8,0.7,9.2,"298,167","7,595",4.2 ( 14 ),2.8 ( 14 )
19. Roaring Fork§,75,59,8.4,5.6,38.6,"408,689","1,359",11.4 ( 7 ),9.0 ( 7 )
20. Salt,20,0,0,0,0,0,"2,361",0.1 ( 7 ),0.0 ( 7 )
21. San Juan,62,42,1.5,0.8,8.9,"256,383","6,406",5.4 ( 15 ),3.4 ( 15 )
22. San Pitch,80,53,2.4,1.3,15.7,"59,903",857,9.9 ( 6 ),6.2 ( 6 )
23. South Platte§,74,57,2.4,1.5,12.8,"439,755","5,620",12.1 ( 21 ),11.3 ( 20 )
24. Southwestern Utah,57,17,0.3,0,0.9,"3,175","1,440",2.1 ( 5 ),1.1 ( 5 )
25. Toole Valley-Vernon Creek,101,91,0.7,0.3,3.6,"13,503",906,7.9 ( 4 ),5.2 ( 4 )
26. Upper Arkansas,72,54,1.7,0.9,8.5,"292,530","5,875",4.3 ( 6 ),2.4 ( 6 )
27. Upper Colorado-Dirty Devil,62,30,1,0.3,5.5,"47,498","2,597",2.2 ( 7 ),0.2 ( 7 )
28. Upper Colorado-Dolores§,56,32,1.4,0.6,6.8,"102,271","3,434",5.7 ( 8 ),3.8 ( 8 )
29. Upper Sevier,70,30,1.1,0.3,5.3,"66,193","3,758",4.4 ( 16 ),2.6 ( 16 )
30. Verde,304,69,0.1,0,0.2,335,"1,816",0.4 ( 7 ),0.1 ( 7 )
31. Weber-Ogden,99,63,3.6,1.7,19,"186,751","2,041",13.3 ( 17 ),9.4 ( 16 )
32. White-Yampa§,92,66,4.5,3,25.1,"964,398","5,948",15.4 ( 15 ),12.4 ( 15 )
