 ,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,168,25,0.3,0,1,"19,141","7,200",5.8 ( 1 ),2.7 ( 1 )
2. Bighorn,122,95,3.2,2.2,15,"2,640,384","22,740",12.4 ( 21 ),11.1 ( 21 )
3. Cheyenne,120,11,0.1,0,0.1,"5,066","15,348",3.6 ( 2 ),0.3 ( 2 )
4. Gallatin,128,94,8,5.2,38,"512,061","1,846",23.9 ( 3 ),24.8 ( 3 )
5. Jefferson,130,94,6.8,3.6,26.5,"1,710,525","8,788",13.5 ( 14 ),12.9 ( 14 )
6. Madison Headwaters in WY,110,93,8.6,5.9,43.5,"793,852","2,524",18.3 ( 7 ),18.2 ( 7 )
7. North Platte,100,66,4.2,2.4,19.3,"1,316,966","10,281",19.0 ( 22 ),17.0 ( 22 )
8. Powder,132,72,0.6,0.2,2.3,"173,971","13,385",7.0 ( 5 ),5.4 ( 5 )
9. Smith-Judith-Musselshell,175,111,3.8,1.6,14.8,"689,745","8,335",15.8 ( 9 ),15.1 ( 9 )
10. Snake,107,102,14,11.4,74,"3,418,631","5,626",22.6 ( 11 ),20.8 ( 11 )
11. Sun-Teton-Marias,90,73,1.7,1,7,"583,486","10,463",8.1 ( 5 ),6.7 ( 5 )
12. Tongue,87,88,0.9,0.8,6,"216,283","5,400",10.3 ( 6 ),9.1 ( 6 )
13. Upper Clark Fork,142,96,6.3,3.2,24.3,"1,009,101","5,981",12.2 ( 12 ),11.6 ( 12 )
14. Upper Green,125,81,6.4,4,28.1,"2,021,074","9,539",15.0 ( 21 ),13.0 ( 21 )
15. Upper Missouri,209,103,4.2,1.4,14,"219,896","2,951",8.0 ( 2 ),6.5 ( 2 )
16. Upper Snake Basins,117,103,7.1,4.6,35.6,"1,689,505","6,875",21.7 ( 11 ),18.9 ( 11 )
17. Upper Yellowstone,122,102,7.3,5.8,37.8,"3,442,200","11,070",16.1 ( 20 ),16.3 ( 18 )
18. Wood and Lost Basins,128,98,6.4,3.6,22.9,"1,439,027","7,420",13.2 ( 16 ),10.3 ( 16 )
