 ,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,3,51,0,0,0.1,918,"7,200",0.0 ( 1 ),0.0 ( 1 )
2. Bighorn,97,78,2,1.2,9.8,"1,484,905","22,740",10.8 ( 21 ),7.8 ( 21 )
3. Cheyenne,0,10,0,0,0,94,"15,348",0.0 ( 2 ),0.0 ( 1 )
4. Gallatin,86,81,3.7,2.8,25.4,"279,985","1,846",21.3 ( 4 ),18.9 ( 4 )
5. Jefferson,76,70,1.8,1.3,14,"612,138","8,788",11.2 ( 14 ),7.6 ( 13 )
6. Madison Headwaters in WY,76,62,3.9,2.5,22.9,"332,763","2,524",14.3 ( 7 ),11.1 ( 7 )
7. North Platte,49,42,1.1,0.6,7.7,"340,385","10,281",13.7 ( 22 ),10.1 ( 22 )
8. Powder,102,62,0.2,0.1,1.2,"86,171","13,385",4.5 ( 5 ),2.8 ( 5 )
9. Smith-Judith-Musselshell,116,134,0.6,0.5,7,"229,851","8,335",12.4 ( 9 ),9.3 ( 9 )
10. Snake,87,75,7.5,4.9,36.8,"1,460,069","5,626",17.0 ( 11 ),10.3 ( 11 )
11. Sun-Teton-Marias,79,71,0.5,0.3,3.4,"195,290","10,463",3.2 ( 5 ),1.5 ( 5 )
12. Tongue,96,81,0.8,0.5,4.5,"139,487","5,400",10.6 ( 6 ),7.7 ( 6 )
13. Upper Clark Fork,86,80,1.6,1.2,12.2,"381,540","5,981",9.3 ( 12 ),6.3 ( 12 )
14. Upper Green,78,66,2.7,1.6,12.5,"818,439","9,539",9.0 ( 21 ),6.1 ( 20 )
15. Upper Missouri,101,105,0.5,0.4,4.1,"57,100","2,951",0.1 ( 2 ),0.1 ( 2 )
16. Upper Snake Basins,62,53,1.7,1,9.7,"368,127","6,875",10.3 ( 11 ),6.3 ( 11 )
17. Upper Yellowstone,91,80,4.7,3.3,27.1,"1,953,733","11,070",14.6 ( 19 ),11.0 ( 19 )
18. Wood and Lost Basins,70,55,1.4,0.7,6.9,"269,194","7,420",4.0 ( 16 ),1.7 ( 16 )
