 ,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,136,144,10,7.9,77.6,"45,840",109,NA,NA
22. Lower Yakima,134,148,7.5,6.5,56.5,"169,616",489,19.5 ( 2 ),20.9 ( 2 )
23. Malheur,143,156,11.4,8.6,70.7,"455,989",992,16.0 ( 3 ),15.5 ( 3 )
24. Middle Humboldt,37,171,0.9,3.9,46.2,"130,326",633,NA,NA
25. Northern Big Smoky Valley,46,132,1.6,6,55.4,"181,379",570,NA,NA
26. Northern Great Basin,59,127,2.2,2.4,25.1,"280,122","2,227",6.9 ( 2 ),6.9 ( 2 )
27. Panhandle Basins,181,96,8.5,3.9,30.2,"343,932","1,643",25.0 ( 3 ),26.2 ( 3 )
28. Reese,46,143,1.7,6.9,58.9,"180,347",491,10.7 ( 2 ),15.4 ( 2 )
29. Rock,39,166,1,2.2,29.8,"97,511",835,14.4 ( 1 ),17.8 ( 1 )
30. Salmon Basin,116,109,11.8,10.8,70.9,"6,861,386","11,933",18.0 ( 11 ),18.7 ( 11 )
31. Silver,190,182,8.7,4.4,45.2,"102,279",431,NA,NA
32. Silvies,176,188,10.2,5.4,62.4,"381,456","1,316",14.5 ( 2 ),14.5 ( 2 )
33. Southern Snake Basins,91,137,3.6,3.3,33.4,"2,217,385","12,501",11.9 ( 13 ),14.2 ( 12 )
34. Spokane,232,123,6.9,3.4,30.7,"562,721","3,146",16.5 ( 8 ),16.8 ( 8 )
35. St. Mary,112,96,8.8,8.6,69.6,"297,851",648,7.5 ( 1 ),7.6 ( 1 )
36. Truckee,65,107,4.6,6.4,38.6,"484,733","1,420",17.5 ( 9 ),19.0 ( 9 )
37. Umatilla-Walla Walla-Willow,93,96,3,1.8,20,"135,606","1,434",17.7 ( 7 ),17.4 ( 7 )
38. Upper Humboldt,60,127,2.2,3.3,35.6,"889,929","5,033",12.9 ( 8 ),15.7 ( 8 )
39. Walker,65,135,3.2,5.2,49.4,"541,546","1,939",15.7 ( 7 ),18.4 ( 7 )
40. West Central Basins,118,112,14.3,12.9,81.4,"3,864,999","5,617",24.8 ( 14 ),24.4 ( 14 )
