 ,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,86,89,15.6,14.5,50,"1,655,623","2,136",15.6 ( 7 ),12.9 ( 7 )
2. Central Puget Sound,62,75,10.8,12.2,41.3,"805,834","1,238",32.9 ( 5 ),30.1 ( 5 )
3. Hood-Sandy-Lower Deschutes,113,105,2.2,1.7,7.6,"460,442","5,080",17.4 ( 11 ),14.4 ( 11 )
4. Klamath,143,134,2.9,1.7,9.7,"661,062","7,199",14.4 ( 15 ),13.0 ( 14 )
5. Lewis,73,58,3.6,2.5,10.1,"77,774",581,40.2 ( 6 ),37.8 ( 6 )
6. Lower Cowlitz,104,84,7.2,4.8,20,"47,451",185,19.8 ( 2 ),18.4 ( 2 )
7. Naches,111,98,9.1,7.2,31.1,"234,590",610,38.3 ( 4 ),35.8 ( 4 )
8. North Puget Sound,75,84,11,10.7,34.2,"1,325,544","2,313",35.9 ( 9 ),34.5 ( 9 )
9. Olympic,126,94,30.5,21.3,66.7,"270,152",238,28.2 ( 3 ),25.4 ( 3 )
10. Rogue-Umpqua,123,107,5.3,3.2,13,"578,659","3,371",10.0 ( 6 ),6.8 ( 6 )
11. South Puget Sound,88,80,5.5,4.4,14.9,"267,701","1,148",19.1 ( 13 ),17.6 ( 13 )
12. Upper Columbia,111,126,5.4,4.6,18.9,"1,346,655","5,502",8.8 ( 7 ),7.1 ( 7 )
13. Upper Cowlitz,86,75,8.7,7.1,24.6,"269,182",714,32.8 ( 3 ),29.4 ( 3 )
14. Upper Deschutes-Crooked,135,128,3.9,2.7,12.6,"813,052","5,608",22.5 ( 7 ),12.4 ( 6 )
15. Upper Yakima,79,76,7.2,6.4,24.8,"350,674","1,033",14.2 ( 3 ),10.5 ( 3 )
16. Willamette,114,107,1.6,1.2,4.8,"711,890","11,356",11.5 ( 17 ),9.0 ( 16 )
