 ,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,98,149,6.8,6.2,50.6,"107,490",324,NA,NA
2. Bitterroot,130,104,10.2,8.4,60.8,"869,676","1,952",18.2 ( 4 ),17.8 ( 4 )
3. Carson,67,106,3.7,5.4,35,"404,826","1,405",14.4 ( 7 ),17.0 ( 7 )
4. Clearwater Basin,160,97,8.1,5.1,36.4,"2,024,133","7,488",25.2 ( 11 ),21.3 ( 7 )
5. Clover Valley and Franklin,29,188,0.7,2.2,40.2,"476,654","4,051",14.7 ( 2 ),17.9 ( 2 )
6. Donner und Blitzen,139,133,16.3,14.1,89.3,"166,474",222,33.7 ( 2 ),35.2 ( 2 )
7. Dry Lake Valley,16,133,0.4,3,55.4,"45,966",289,NA,NA
8. Eastern Nevada,32,124,1,4,46,"927,472","4,372",4.9 ( 8 ),8.2 ( 8 )
9. Flathead,172,90,7.7,4,35.5,"1,603,090","7,521",18.4 ( 12 ),19.0 ( 13 )
10. Grande Ronde-Burnt-Powder_Imnaha,130,123,10.3,7.1,56.1,"2,013,773","5,311",17.8 ( 11 ),17.7 ( 11 )
11. Guano,143,164,2.4,1.1,17.1,"123,255","2,039",0.0 ( 1 ),0.0 ( 1 )
12. Harney-Malheur Lakes,167,166,8.7,4.5,47.5,"66,570",276,NA,NA
13. John Day,101,106,7.7,6.3,50.7,"502,228","1,502",19.5 ( 2 ),19.8 ( 2 )
14. Kootenai,151,80,7.4,3.5,31.2,"316,679","1,673",16.9 ( 5 ),18.4 ( 5 )
15. Lake County-Goose Lake,155,180,7.9,6.3,52.8,"1,200,088","3,600",22.5 ( 2 ),22.9 ( 2 )
16. Little Humboldt,84,158,4.6,6.6,62.7,"147,259",419,14.7 ( 3 ),16.3 ( 3 )
17. Lower Clark Fork,191,118,11.2,7.9,55.3,"619,458","1,465",30.4 ( 4 ),32.3 ( 4 )
18. Lower Humboldt,36,183,1.1,4.1,50.4,"60,183",274,7.9 ( 1 ),10.6 ( 1 )
19. Lower Pend Oreille,162,102,13.1,7.4,45.2,"50,697",129,20.9 ( 1 ),23.6 ( 1 )
20. Lower Snake-Asotin,113,135,3.7,2.5,30.9,"44,455",328,6.2 ( 2 ),6.7 ( 2 )
