 ,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,94,86,17.1,15.6,46.9,"1,776,226","2,136",18.4 ( 7 ),15.6 ( 7 )
2. Central Puget Sound,42,62,5.2,10.8,27.3,"710,036","1,238",35.9 ( 5 ),32.9 ( 5 )
3. Hood-Sandy-Lower Deschutes,125,113,2.6,2.2,7.7,"584,049","5,080",20.5 ( 11 ),17.4 ( 11 )
4. Klamath,167,143,3.6,2.9,14.3,"1,127,378","7,199",17.8 ( 15 ),14.4 ( 15 )
5. Lewis,67,73,3.1,3.6,8.2,"111,259",581,42.6 ( 6 ),40.2 ( 6 )
6. Lower Cowlitz,103,104,6.9,7.2,19.3,"70,675",185,21.3 ( 2 ),19.8 ( 2 )
7. Naches,118,111,10.3,9.1,30.5,"295,830",610,40.5 ( 4 ),38.3 ( 4 )
8. North Puget Sound,48,75,5.1,11,25.6,"1,353,828","2,313",37.9 ( 9 ),35.9 ( 9 )
9. Olympic,124,126,26.8,30.5,61,"386,947",238,32.2 ( 3 ),28.2 ( 3 )
10. Rogue-Umpqua,129,123,5.2,5.3,15.4,"944,501","3,371",13.4 ( 6 ),10.0 ( 6 )
11. South Puget Sound,84,88,4.9,5.5,12.7,"338,997","1,148",20.3 ( 14 ),19.1 ( 13 )
12. Upper Columbia,120,111,6.8,5.4,21.9,"1,575,839","5,502",11.9 ( 7 ),8.8 ( 7 )
13. Upper Cowlitz,73,86,6,8.7,18.7,"330,930",714,36.1 ( 3 ),32.8 ( 3 )
14. Upper Deschutes-Crooked,154,135,4.3,3.9,14.7,"1,162,045","5,608",26.8 ( 7 ),22.5 ( 7 )
15. Upper Yakima,95,79,8.8,7.2,24.3,"394,096","1,033",17.7 ( 3 ),14.2 ( 3 )
16. Willamette,125,114,1.7,1.6,4.8,"983,090","11,356",13.1 ( 18 ),11.5 ( 17 )
