 ,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,%4/20 Avg.,%4/27 Avg. ,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,118,127,1.7,1.2,8.8,"20,889",324,NA,NA
2. Bitterroot,66,96,4.4,6.6,40.6,"683,750","1,952",15.8 ( 4 ),13.8 ( 4 )
3. Carson,72,80,2.4,2.6,19,"191,676","1,405",13.3 ( 7 ),10.5 ( 7 )
4. Clearwater Basin,83,103,4.8,5.4,30.4,"2,171,448","7,488",27.1 ( 11 ),24.9 ( 11 )
5. Clover Valley and Franklin,82,105,0.3,0.2,2.2,"42,661","4,048",12.8 ( 2 ),7.9 ( 2 )
6. Donner und Blitzen,141,128,7.5,5.3,35.2,"62,493",222,36.2 ( 2 ),32.0 ( 2 )
7. Dry Lake Valley,19,15,0.1,0.1,0.7,851,289,NA,NA
8. Eastern Nevada,46,43,0.4,0.2,2.7,"49,791","4,372",3.5 ( 8 ),2.1 ( 8 )
9. Flathead,58,103,2.7,4.9,31.6,"1,953,067","7,526",22.7 ( 12 ),20.7 ( 13 )
10. Grande Ronde-Burnt-Powder_Imnaha,116,115,4.7,3.6,18.7,"1,014,888","5,312",14.1 ( 10 ),10.7 ( 10 )
11. Guano,128,122,0.1,0.1,0.6,"7,215","2,036",0.0 ( 1 ),0.1 ( 1 )
12. Harney-Malheur Lakes,90,28,0.2,0,0.4,672,276,NA,NA
13. John Day,129,126,4.4,2.8,19.4,"224,874","1,502",11.2 ( 2 ),5.2 ( 2 )
14. Kootenai,45,89,2.3,3.5,20.8,"314,871","1,673",20.9 ( 5 ),19.5 ( 5 )
15. Lake County-Goose Lake,156,147,2.4,1.3,9.9,"243,246","3,602",19.9 ( 2 ),18.0 ( 2 )
16. Little Humboldt,80,92,0.7,0.4,3.6,"8,702",419,8.2 ( 3 ),6.7 ( 3 )
17. Lower Clark Fork,72,113,5,6.8,40.3,"534,502","1,465",40.8 ( 4 ),40.3 ( 4 )
18. Lower Humboldt,82,208,0.3,0.4,6.4,"5,730",274,0.0 ( 1 ),0.0 ( 1 )
19. Lower Pend Oreille,118,135,11.6,9.7,49.7,"66,770",129,26.3 ( 1 ),24.6 ( 1 )
20. Lower Snake-Asotin,91,101,0.8,0.5,4.4,"9,617",328,2.8 ( 2 ),0.8 ( 2 )
